Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,62,1,62,7.515151515151515
relator,56,2,118,14.303030303030303
subkind,52,3,170,20.606060606060606
category,50,4,220,26.666666666666668
role,49,5,269,32.6060606060606
mediation,49,6,318,38.54545454545455
characterization,45,7,363,44.0
mode,34,8,397,48.12121212121212
event,32,9,429,52.0
quality,32,10,461,55.87878787878788
roleMixin,30,11,491,59.51515151515151
material,29,12,520,63.030303030303024
phase,26,13,546,66.18181818181819
derivation,24,14,570,69.0909090909091
componentOf,22,15,592,71.75757575757575
participation,22,16,614,74.42424242424242
externalDependence,18,17,632,76.60606060606061
collective,18,18,650,78.78787878787878
datatype,17,19,667,80.84848484848484
type,16,20,683,82.78787878787878
memberOf,14,21,697,84.48484848484848
situation,14,22,711,86.18181818181819
creation,14,23,725,87.87878787878788
instantiation,14,24,739,89.57575757575758
historicalDependence,13,25,752,91.15151515151516
mixin,11,26,763,92.48484848484848
manifestation,11,27,774,93.81818181818183
bringsAbout,10,28,784,95.03030303030303
phaseMixin,8,29,792,96.0
triggers,8,30,800,96.96969696969697
quantity,5,31,805,97.57575757575758
historicalRole,4,32,809,98.06060606060606
enumeration,4,33,813,98.54545454545455
comparative,4,34,817,99.03030303030303
historicalRoleMixin,3,35,820,99.39393939393939
participational,2,36,822,99.63636363636364
termination,2,37,824,99.87878787878788
abstract,1,38,825,100.0
subQuantityOf,0,39,825,100.0
subCollectionOf,0,40,825,100.0
