Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,503,1,503,11.788141551441294
kind,486,2,989,23.177876728380596
mediation,377,3,1366,32.01312397468948
role,305,4,1671,39.161003046636985
characterization,260,5,1931,45.25427700960862
material,225,6,2156,50.52730255448793
relator,218,7,2374,55.63627841574878
category,210,8,2584,60.55776892430279
event,187,9,2771,64.9402390438247
roleMixin,177,10,2948,69.08835247246309
phase,150,11,3098,72.60370283571595
quality,131,12,3229,75.67377548629013
mode,124,13,3353,78.57979845324584
componentOf,117,14,3470,81.32177173658309
participation,101,15,3571,83.68877431450667
type,66,16,3637,85.23552847433794
datatype,64,17,3701,86.7354112959925
externalDependence,63,18,3764,88.21185844855871
instantiation,61,19,3825,89.64143426294821
derivation,57,20,3882,90.9772674009843
situation,56,21,3938,92.28966486993204
enumeration,38,22,3976,93.18022029528943
memberOf,36,23,4012,94.02390438247012
creation,34,24,4046,94.82071713147411
collective,33,25,4079,95.59409421138973
manifestation,31,26,4110,96.32059995312866
historicalDependence,30,27,4140,97.02367002577924
historicalRole,23,28,4163,97.56269041481134
bringsAbout,23,29,4186,98.10171080384345
phaseMixin,20,30,4206,98.57042418561049
mixin,14,31,4220,98.89852355284744
comparative,13,32,4233,99.20318725099602
triggers,13,33,4246,99.5078509491446
historicalRoleMixin,9,34,4255,99.71877197093977
quantity,6,35,4261,99.85938598546988
termination,3,36,4264,99.92969299273494
participational,2,37,4266,99.97656433091164
abstract,1,38,4267,100.0
subQuantityOf,0,39,4267,100.0
subCollectionOf,0,40,4267,100.0
