Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.39519970685232686,4,0.2825278810408922
20.0,8,0.6148772444118725,8,0.49907063197026025
30.0,12,0.7720776841333822,12,0.6524163568773235
40.0,16,0.862953462806889,16,0.7630111524163569
50.0,20,0.9149871747893001,20,0.8420074349442379
60.0,24,0.9527299377061195,24,0.9061338289962825
70.0,28,0.9763649688530597,28,0.9535315985130112
80.0,32,0.9908391352143643,32,0.983271375464684
90.0,36,0.9989006962257237,36,0.9953531598513011
100.0,40,1.0,40,1.0
