Stereotype,quadrant_before,quadrant_after,quadrant_general
abstract,Q3,Q3,Q3
category,Q1,Q1,Q1
collective,Q1,Q2,Q2
datatype,Q2,Q1,Q1
enumeration,Q4,Q3,Q3
event,Q1,Q1,Q1
historicalRole,Q3,Q3,Q3
historicalRoleMixin,Q3,Q3,Q3
kind,Q1,Q1,Q1
mixin,Q2,Q3,Q3
mode,Q1,Q1,Q1
phase,Q1,Q1,Q1
phaseMixin,Q3,Q3,Q3
quality,Q1,Q1,Q1
quantity,Q4,Q3,Q3
relator,Q1,Q1,Q1
role,Q1,Q1,Q1
roleMixin,Q1,Q1,Q1
situation,Q1,Q3,Q4
subkind,Q1,Q1,Q1
type,Q3,Q1,Q4
bringsAbout,Q3,Q3,Q3
characterization,Q1,Q1,Q1
comparative,Q3,Q3,Q3
componentOf,Q1,Q1,Q1
creation,Q3,Q3,Q3
derivation,Q1,Q1,Q1
externalDependence,Q3,Q1,Q1
historicalDependence,Q3,Q3,Q3
instantiation,Q3,Q4,Q3
manifestation,Q3,Q3,Q3
material,Q1,Q1,Q1
mediation,Q1,Q1,Q1
memberOf,Q1,Q3,Q2
participation,Q4,Q1,Q1
participational,Q3,Q3,Q3
subCollectionOf,Q3,Q3,Q3
subQuantityOf,Q3,Q3,Q3
termination,Q3,Q3,Q3
triggers,Q3,Q3,Q3
