Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,3,0.07692307692307693,1,0.02564102564102564,0.0012057877813504824,0.00909090909090909
characterization,176,4.512820512820513,15,0.38461538461538464,0.0707395498392283,0.13636363636363635
comparative,15,0.38461538461538464,1,0.02564102564102564,0.006028938906752411,0.00909090909090909
componentOf,328,8.41025641025641,16,0.41025641025641024,0.13183279742765272,0.14545454545454545
creation,0,0.0,0,0.0,0.0,0.0
derivation,119,3.051282051282051,10,0.2564102564102564,0.04782958199356913,0.09090909090909091
externalDependence,10,0.2564102564102564,3,0.07692307692307693,0.0040192926045016075,0.02727272727272727
historicalDependence,5,0.1282051282051282,1,0.02564102564102564,0.0020096463022508037,0.00909090909090909
instantiation,2,0.05128205128205128,1,0.02564102564102564,0.0008038585209003215,0.00909090909090909
manifestation,3,0.07692307692307693,1,0.02564102564102564,0.0012057877813504824,0.00909090909090909
material,312,8.0,19,0.48717948717948717,0.12540192926045016,0.17272727272727273
mediation,1342,34.41025641025641,21,0.5384615384615384,0.5393890675241158,0.19090909090909092
memberOf,134,3.4358974358974357,12,0.3076923076923077,0.053858520900321546,0.10909090909090909
participation,15,0.38461538461538464,2,0.05128205128205128,0.006028938906752411,0.01818181818181818
participational,0,0.0,0,0.0,0.0,0.0
subCollectionOf,19,0.48717948717948717,4,0.10256410256410256,0.007636655948553055,0.03636363636363636
subQuantityOf,3,0.07692307692307693,2,0.05128205128205128,0.0012057877813504824,0.01818181818181818
termination,0,0.0,0,0.0,0.0,0.0
triggers,2,0.05128205128205128,1,0.02564102564102564,0.0008038585209003215,0.00909090909090909
