Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5455585207777354,2,0.29210526315789476
20.0,4,0.7304613038505529,4,0.4868421052631579
30.0,6,0.8219595882577202,6,0.6078947368421053
40.0,8,0.8844834159359513,8,0.7131578947368421
50.0,10,0.9294700724361418,10,0.7947368421052632
60.0,12,0.956157072054899,12,0.868421052631579
70.0,14,0.9794128860083874,14,0.9315789473684211
80.0,16,0.9931376286694624,16,0.9789473684210527
90.0,18,0.9992375142966069,18,0.9947368421052631
100.0,21,1.0,21,1.0
