Stereotype,x_value,y_value,quadrant
bringsAbout,0.2479338842975206,0.0991735537190082,Q3
characterization,4.6115702479338845,0.5619834710743802,Q1
comparative,0.3057851239669421,0.0495867768595041,Q3
componentOf,4.553719008264463,0.371900826446281,Q1
creation,0.4958677685950413,0.1487603305785124,Q2
derivation,1.8099173553719008,0.3223140495867768,Q1
externalDependence,0.6363636363636364,0.1818181818181818,Q1
historicalDependence,0.3636363636363636,0.1322314049586777,Q3
instantiation,0.5702479338842975,0.140495867768595,Q4
manifestation,0.2809917355371901,0.0991735537190082,Q3
material,5.148760330578512,0.4462809917355372,Q1
mediation,16.25619834710744,0.6363636363636364,Q1
memberOf,1.677685950413223,0.256198347107438,Q1
participation,1.743801652892562,0.2396694214876033,Q1
participational,0.140495867768595,0.0330578512396694,Q3
subCollectionOf,0.2231404958677686,0.0495867768595041,Q3
subQuantityOf,0.1157024793388429,0.0330578512396694,Q3
termination,0.0413223140495867,0.024793388429752,Q3
triggers,0.1322314049586777,0.0826446280991735,Q3
other,4.388429752066116,0.2892561983471074,Q1
none,18.40495867768595,0.8677685950413223,Q1
