Stereotype,DistanceFromOrigin,Rank
none,2227.000169066526,1
mediation,1967.000102938146,2
material,623.000159844862,3
characterization,558.000282997618,4
componentOf,551.0001255083565,5
other,531.0000787845029,6
derivation,219.00023718331119,7
participation,211.00013611709258,8
memberOf,203.00016166888406,9
externalDependence,77.00021466107246,10
instantiation,69.00014303672754,11
creation,60.000184413349544,12
historicalDependence,44.00019869437475,13
comparative,37.00003322766669,14
manifestation,34.00014463783584,15
bringsAbout,30.000163922781443,16
subCollectionOf,27.000045534191962,17
participational,17.00003214177928,18
triggers,16.000213440281154,19
subQuantityOf,14.000039029285903,20
termination,5.000061470833117,21
