Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1798,1,1798,28.503487634749526
mediation,1737,2,3535,56.03994927076727
material,537,3,4072,64.55294863665188
other,493,4,4565,72.36842105263158
characterization,455,5,5020,79.58148383005708
componentOf,445,6,5465,86.63601775523145
derivation,176,7,5641,89.42612555485098
memberOf,170,8,5811,92.12111604311984
participation,146,9,5957,94.43563728598605
externalDependence,73,10,6030,95.59289790741914
instantiation,63,11,6093,96.59162967660114
creation,43,12,6136,97.27330374128091
historicalDependence,35,13,6171,97.8281547241598
manifestation,34,14,6205,98.36715282181358
comparative,28,15,6233,98.81103360811667
bringsAbout,26,16,6259,99.22320862396955
subCollectionOf,19,17,6278,99.52441344324667
triggers,15,18,6293,99.76220672162334
participational,9,19,6302,99.90488268864934
subQuantityOf,3,20,6305,99.95244134432467
termination,3,21,6308,100.0
