Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,30,0.32608695652173914,12,0.13043478260869565,0.012658227848101266,0.030848329048843187
characterization,400,4.3478260869565215,57,0.6195652173913043,0.16877637130801687,0.14652956298200515
comparative,22,0.2391304347826087,5,0.05434782608695652,0.009282700421940928,0.012853470437017995
componentOf,233,2.532608695652174,32,0.34782608695652173,0.09831223628691983,0.08226221079691516
creation,60,0.6521739130434783,18,0.1956521739130435,0.02531645569620253,0.04627249357326478
derivation,106,1.1521739130434783,30,0.32608695652173914,0.04472573839662447,0.07712082262210797
externalDependence,69,0.75,20,0.21739130434782608,0.02911392405063291,0.05141388174807198
historicalDependence,44,0.4782608695652174,16,0.17391304347826086,0.018565400843881856,0.04113110539845758
instantiation,69,0.75,17,0.18478260869565216,0.02911392405063291,0.043701799485861184
manifestation,34,0.3695652173913043,12,0.13043478260869565,0.014345991561181435,0.030848329048843187
material,325,3.532608695652174,38,0.41304347826086957,0.1371308016877637,0.09768637532133675
mediation,641,6.967391304347826,62,0.6739130434782609,0.27046413502109706,0.15938303341902313
memberOf,73,0.7934782608695652,21,0.22826086956521738,0.03080168776371308,0.05398457583547558
participation,207,2.25,28,0.30434782608695654,0.08734177215189873,0.07197943444730077
participational,17,0.18478260869565216,4,0.043478260869565216,0.007172995780590718,0.010282776349614395
subCollectionOf,8,0.08695652173913043,2,0.021739130434782608,0.0033755274261603376,0.005141388174807198
subQuantityOf,11,0.11956521739130435,2,0.021739130434782608,0.004641350210970464,0.005141388174807198
termination,5,0.05434782608695652,3,0.03260869565217391,0.002109704641350211,0.007712082262210797
triggers,16,0.17391304347826086,10,0.10869565217391304,0.006751054852320675,0.02570694087403599
