Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,103,1,103,19.961240310077518
material,70,2,173,33.52713178294574
characterization,66,3,239,46.31782945736434
derivation,52,4,291,56.395348837209305
componentOf,52,5,343,66.47286821705426
memberOf,38,6,381,73.83720930232558
participation,24,7,405,78.48837209302324
externalDependence,20,8,425,82.36434108527132
instantiation,15,9,440,85.27131782945736
creation,14,10,454,87.98449612403101
historicalDependence,14,11,468,90.69767441860465
manifestation,12,12,480,93.02325581395348
bringsAbout,11,13,491,95.15503875968993
triggers,9,14,500,96.89922480620154
subCollectionOf,7,15,507,98.25581395348837
comparative,5,16,512,99.2248062015504
participational,2,17,514,99.6124031007752
termination,2,18,516,100.0
subQuantityOf,0,19,516,100.0
