Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,929,1,929,35.16275548826647
material,397,2,1326,50.18925056775171
characterization,339,3,1665,63.02043906131718
componentOf,295,4,1960,74.18622255866768
derivation,150,5,2110,79.86373959121877
participation,116,6,2226,84.2543527630583
memberOf,98,7,2324,87.96366389099167
externalDependence,71,8,2395,90.65102195306586
instantiation,63,9,2458,93.03557910673732
historicalDependence,35,10,2493,94.36033308099925
creation,34,11,2527,95.64723694171082
manifestation,34,12,2561,96.9341408024224
bringsAbout,26,13,2587,97.91824375473126
subCollectionOf,21,14,2608,98.71309613928841
triggers,15,15,2623,99.28084784254352
comparative,14,16,2637,99.81074943224829
termination,3,17,2640,99.92429977289932
participational,2,18,2642,100.0
subQuantityOf,0,19,2642,100.0
