Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,1,0.3516275548826647,1,0.1996124031007752
20.0,3,0.6302043906131718,3,0.4631782945736434
30.0,5,0.7986373959121877,5,0.6647286821705426
40.0,7,0.8796366389099167,7,0.7848837209302325
50.0,9,0.9303557910673732,9,0.8527131782945736
60.0,11,0.9564723694171082,11,0.9069767441860465
70.0,13,0.9791824375473126,13,0.9515503875968992
80.0,15,0.9928084784254353,15,0.9825581395348837
90.0,17,0.9992429977289932,17,0.9961240310077519
100.0,19,1.0,19,1.0
