Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
characterization,1.0,0.13053909616171483,0.15742848480729524,-0.11700100483842298,0.43694944137921904,0.28460368455252455,0.35006607941906903,0.3756119490717175,-0.051627254379045535,0.07594775271952395,0.000953416477628108,0.35019969997652495
componentOf,0.13053909616171483,1.0,-0.006115371787819572,-0.0588412222337234,-0.04071992156695168,0.0191169821605347,0.09602490325187524,0.09985957158706102,0.12166024455516056,0.14299269988415542,0.24690158710827825,-0.07120761284727989
creation,0.15742848480729524,-0.006115371787819572,1.0,-0.006744011820392792,0.2659332377260027,0.36459133906405916,0.418010372969352,0.4192228787325922,-0.05590546315455142,0.0275954222341907,0.06357445761814538,0.6578430550311357
derivation,-0.11700100483842298,-0.0588412222337234,-0.006744011820392792,1.0,-0.1341995242266048,-0.13907077595865844,-0.16888624344381462,-0.17533231771252464,0.5422627959987842,0.37980842675316023,0.12154469676513693,-0.12359250173352765
externalDependence,0.43694944137921904,-0.04071992156695168,0.2659332377260027,-0.1341995242266048,1.0,0.40660220959209836,0.5656133018439603,0.4690539432986778,-0.25837181688174937,-0.00023857483174018247,0.0396582554618783,0.4155003083929281
historicalDependence,0.28460368455252455,0.0191169821605347,0.36459133906405916,-0.13907077595865844,0.40660220959209836,1.0,0.5945466716204316,0.5864223530829893,-0.046075278150144124,-0.0005055401067094952,0.010110076275441245,0.5865979575128567
instantiation,0.35006607941906903,0.09602490325187524,0.418010372969352,-0.16888624344381462,0.5656133018439603,0.5945466716204316,1.0,0.8035691308473288,-0.15919628822716037,-0.00010423000640174115,-0.04282485842287966,0.5451065583780521
manifestation,0.3756119490717175,0.09985957158706102,0.4192228787325922,-0.17533231771252464,0.4690539432986778,0.5864223530829893,0.8035691308473288,1.0,-0.11920269801715883,-0.008657054869182777,-0.015345807578230985,0.5872292837008091
material,-0.051627254379045535,0.12166024455516056,-0.05590546315455142,0.5422627959987842,-0.25837181688174937,-0.046075278150144124,-0.15919628822716037,-0.11920269801715883,1.0,0.34594425320087785,0.12345854584841613,-0.10922192726106987
mediation,0.07594775271952395,0.14299269988415542,0.0275954222341907,0.37980842675316023,-0.00023857483174018247,-0.0005055401067094952,-0.00010423000640174115,-0.008657054869182777,0.34594425320087785,1.0,0.23325537509487473,-0.09404331993607644
memberOf,0.000953416477628108,0.24690158710827825,0.06357445761814538,0.12154469676513693,0.0396582554618783,0.010110076275441245,-0.04282485842287966,-0.015345807578230985,0.12345854584841613,0.23325537509487473,1.0,0.026573277171503682
participation,0.35019969997652495,-0.07120761284727989,0.6578430550311357,-0.12359250173352765,0.4155003083929281,0.5865979575128567,0.5451065583780521,0.5872292837008091,-0.10922192726106987,-0.09404331993607644,0.026573277171503682,1.0
