Group,Support (Model Count),Coverage (%),Total Occurrences,Average Occurrences per Model
sortal,118,97.52066115702479,8239,68.0909090909091
non_sortal,95,78.51239669421489,1271,10.50413223140496
rigid,119,98.34710743801654,6408,52.95867768595041
non_rigid,105,86.77685950413223,2889,23.876033057851238
abstracts,31,25.6198347107438,152,1.256198347107438
temporal,53,43.80165289256198,585,4.8347107438016526
rigid_sortal,116,95.86776859504133,5826,48.14876033057851
rigid_non_sortal,86,71.07438016528926,582,4.809917355371901
non_rigid_sortal,90,74.3801652892562,2200,18.181818181818183
non_rigid_non_sortal,64,52.892561983471076,689,5.694214876033058
