year,category,period,predicted,a (quad),b (linear),intercept
2015,none (occurrence),2015-2018,-0.25027809385210276,-1.5850945531983598,6400.194675654649,-6460551.989462401
2016,none (occurrence),2015-2018,10.428253618068993,-1.5850945531983598,6400.194675654649,-6460551.989462401
2017,none (occurrence),2015-2018,17.936596223153174,-1.5850945531983598,6400.194675654649,-6460551.989462401
2018,none (occurrence),2015-2018,22.274749722331762,-1.5850945531983598,6400.194675654649,-6460551.989462401
2015,none (model-wise),2015-2018,2.3611111105419695,0.6944444446976377,-2798.5648158351114,2819509.769546394
2016,none (model-wise),2015-2018,3.1018518516793847,0.6944444446976377,-2798.5648158351114,2819509.769546394
2017,none (model-wise),2015-2018,5.23148148227483,0.6944444446976377,-2798.5648158351114,2819509.769546394
2018,none (model-wise),2015-2018,8.750000000931323,0.6944444446976377,-2798.5648158351114,2819509.769546394
2015,other (occurrence),2015-2018,1.1957730762660503,-1.1957730821131918,4822.163518696267,-4861550.532076866
2016,other (occurrence),2015-2018,3.197997774928808,-1.1957730821131918,4822.163518696267,-4861550.532076866
2017,other (occurrence),2015-2018,2.8086763098835945,-1.1957730821131918,4822.163518696267,-4861550.532076866
2018,other (occurrence),2015-2018,0.027808678336441517,-1.1957730821131918,4822.163518696267,-4861550.532076866
2015,other (model-wise),2015-2018,0.972222222131677,-0.23148148165034854,933.8425932735915,-941824.9543902784
2016,other (model-wise),2015-2018,1.7129629631526768,-0.23148148165034854,933.8425932735915,-941824.9543902784
2017,other (model-wise),2015-2018,1.9907407409045845,-0.23148148165034854,933.8425932735915,-941824.9543902784
2018,other (model-wise),2015-2018,1.8055555553874,-0.23148148165034854,933.8425932735915,-941824.9543902784
