stereotype,total_correlation,rank
category,4.459747025031698,24
collective,4.15142247581308,26
datatype,3.153815292634648,33
event,6.926489498972303,6
kind,7.020686013970238,5
mixin,3.2056874297355398,32
mode,4.709657623068208,20
phase,4.013346047321657,27
phaseMixin,3.912498900734783,29
quality,4.811352266618356,17
relator,5.10289468066601,16
role,4.722484386817328,19
roleMixin,4.7249440297924465,18
situation,6.4141542639732485,9
subkind,4.4671631381273516,23
type,8.098916529000984,2
none_c,2.783886556996839,34
other_c,3.9543358787040876,28
bringsAbout,6.7991498937697505,8
characterization,5.8451170986286005,13
componentOf,4.696544625739269,21
creation,5.380162515571727,14
derivation,4.324596765465857,25
externalDependence,6.001816932896387,11
historicalDependence,6.868138462096385,7
instantiation,8.211612871549104,1
manifestation,7.758763279154504,3
material,4.4907436493812005,22
mediation,5.845641998130807,12
memberOf,5.280238934497184,15
participation,7.476433687573136,4
triggers,6.015869573791622,10
none_r,3.3773710576201363,31
other_r,3.8118032345419985,30
