stereotype,total_correlation,rank
category,4.324973689364463,10
datatype,2.4353099903281143,22
event,5.219258562508914,5
kind,5.609516614087124,4
mode,3.8909096183063374,17
phase,3.462485261264551,19
quality,4.205252813860397,11
relator,4.555302484559086,9
role,4.158538736902219,13
roleMixin,4.097101500366518,14
subkind,4.087259520248277,15
type,6.649547685110501,1
none_c,2.1791880072498317,23
characterization,5.103622264049323,6
componentOf,4.20379226665801,12
derivation,3.5640621615596864,18
externalDependence,5.068880279223203,7
instantiation,6.589755957221082,2
material,3.986125212399464,16
mediation,4.87881894621989,8
participation,5.753381113354773,3
none_r,2.7941773063394404,21
other_r,2.8165724745104757,20
