year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,0,0,2,0,5,0,0,0,2,6,0,0,0,0,0,0,0,4,5
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2011,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012,0,0,0,0,0,2,0,5,0,0,0,8,17,0,0,0,0,0,0,0,28,0
2013,0,0,0,0,0,2,0,3,0,0,0,2,4,0,0,0,0,0,0,0,0,22
2014,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,3
2015,0,137,0,0,0,98,0,275,0,0,0,260,1263,0,0,0,0,0,0,0,145,450
2016,0,17,15,0,0,0,0,25,0,0,0,1,25,0,4,0,0,0,0,0,32,24
2017,0,3,0,0,0,4,0,0,0,0,0,20,11,0,0,0,0,0,0,0,315,22
2018,0,18,0,0,0,6,0,1,0,2,3,14,16,0,11,0,0,0,0,2,178,25
