year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0
2013,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2
2014,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
2015,0,6,0,0,0,4,0,5,0,0,0,5,7,0,0,0,0,0,0,0,7,7
2016,0,3,1,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,3,2
2017,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,8,4
2018,0,4,0,0,0,1,0,1,0,1,1,3,6,0,1,0,0,0,0,1,9,5
