Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5780684664625662,2,0.33962264150943394
20.0,4,0.7723350960200389,4,0.559748427672956
30.0,6,0.9081547453381575,6,0.7547169811320755
40.0,8,0.9785694405789034,8,0.8930817610062893
50.0,10,0.9880322849986084,10,0.9371069182389937
60.0,12,0.9949902588366267,12,0.9622641509433962
70.0,14,0.9972168104647926,14,0.9748427672955975
80.0,16,0.9988867241859171,16,0.9874213836477987
90.0,18,1.0,18,1.0
100.0,21,1.0,21,1.0
