year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2012,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2014,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
2015,0.0,0.14634146341463414,0.0,0.0,0.0,0.0975609756097561,0.0,0.12195121951219512,0.0,0.0,0.0,0.12195121951219512,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.17073170731707318
2016,0.0,0.1875,0.0625,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.1875,0.125
2017,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
2018,0.0,0.12121212121212122,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.18181818181818182,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.030303030303030304,0.2727272727272727,0.15151515151515152
