Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,33,1,33,23.741007194244602
other,23,2,56,40.28776978417266
mediation,21,3,77,55.39568345323741
material,19,4,96,69.06474820143885
characterization,15,5,111,79.85611510791367
formal,12,6,123,88.48920863309353
derivation,10,7,133,95.68345323741008
participation,2,8,135,97.12230215827337
manifestation,1,9,136,97.84172661870504
comparative,1,10,137,98.56115107913669
triggers,1,11,138,99.28057553956835
instantiation,1,12,139,100.0
bringsAbout,0,13,139,100.0
componentOf,0,14,139,100.0
creation,0,15,139,100.0
memberOf,0,16,139,100.0
externalDependence,0,17,139,100.0
historicalDependence,0,18,139,100.0
subQuantityOf,0,19,139,100.0
subCollectionOf,0,20,139,100.0
participational,0,21,139,100.0
termination,0,22,139,100.0
