Stereotype,DistanceFromOrigin,Rank
mediation,45.72706341085918,1
componentOf,10.974676287686146,2
material,10.290662796184705,3
characterization,5.461463742157092,4
memberOf,4.496001658760447,5
derivation,3.908891051294701,6
subCollectionOf,0.6695340634119862,7
comparative,0.518389530288721,8
externalDependence,0.28435211211156275,9
participation,0.14217605605578135,10
subQuantityOf,0.1243293543263444,11
bringsAbout,0.0,12
historicalDependence,0.0,12
manifestation,0.0,12
instantiation,0.0,12
creation,0.0,12
participational,0.0,12
termination,0.0,12
triggers,0.0,12
