Stereotype,x_value,y_value,quadrant
bringsAbout,0.0,0.0,Q3
characterization,0.0660535117056856,0.1309523809523809,Q1
comparative,0.0062709030100334,0.0119047619047619,Q1
componentOf,0.132943143812709,0.1547619047619047,Q1
creation,0.0,0.0,Q3
derivation,0.0472408026755852,0.1071428571428571,Q1
externalDependence,0.0033444816053511,0.0238095238095238,Q1
historicalDependence,0.0,0.0,Q3
instantiation,0.0,0.0,Q3
manifestation,0.0,0.0,Q3
material,0.1245819397993311,0.1904761904761904,Q1
mediation,0.5543478260869565,0.1785714285714285,Q1
memberOf,0.0543478260869565,0.119047619047619,Q1
participation,0.0016722408026755,0.0119047619047619,Q1
participational,0.0,0.0,Q3
subCollectionOf,0.007943143812709,0.0476190476190476,Q1
subQuantityOf,0.0012541806020066,0.0238095238095238,Q2
termination,0.0,0.0,Q3
triggers,0.0,0.0,Q3
