year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0
2007,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
2011,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0
2013,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
2015,0,7,4,2,3,3,0,0,8,4,5,4,0,1,2,7,7,7,2,6,3,2,2
2016,0,3,2,1,0,2,0,0,1,2,2,0,0,1,1,4,2,2,1,1,1,0,1
2017,0,5,0,0,0,6,0,0,7,1,3,2,0,0,1,4,8,4,1,6,2,4,2
2018,0,7,3,0,1,4,0,0,5,1,5,1,0,2,0,8,4,5,2,8,2,1,3
2019,0,4,3,1,0,3,1,0,7,1,2,4,0,3,1,7,4,1,1,7,1,0,1
2020,0,9,2,4,0,6,1,0,15,2,4,5,2,5,2,9,12,8,3,9,2,4,3
2021,1,14,3,5,1,9,0,1,14,2,13,6,1,11,2,14,10,5,4,14,4,3,3
2022,0,14,6,6,2,9,1,2,13,1,8,6,3,7,2,15,11,10,2,12,8,2,1
2023,0,13,6,3,1,5,0,0,17,5,12,7,2,9,0,13,15,10,3,15,2,6,0
2024,0,6,4,2,1,6,2,0,8,2,3,5,0,5,0,6,7,2,2,7,2,0,0
