Stereotype,average_quantity,rank,proportion
abstract,0,10,0.0
category,3,3,0.07894736842105263
collective,0,10,0.0
datatype,0,10,0.0
enumeration,1,7,0.02631578947368421
event,0,10,0.0
historicalRole,0,10,0.0
historicalRoleMixin,0,10,0.0
kind,9,2,0.23684210526315788
mixin,0,10,0.0
mode,0,10,0.0
phase,0,10,0.0
phaseMixin,0,10,0.0
quality,2,4,0.05263157894736842
quantity,1,7,0.02631578947368421
relator,2,4,0.05263157894736842
role,2,4,0.05263157894736842
roleMixin,0,10,0.0
situation,1,7,0.02631578947368421
subkind,17,1,0.4473684210526316
type,0,10,0.0
none,0,10,0.0
other,0,10,0.0
