year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0,7,1,2,0,0,0,0,9,2,4,4,0,0,1,3,7,0,0,3,0,0,0
2007,0,3,0,1,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,5
2011,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,0
2012,0,11,0,0,0,0,0,0,38,0,0,0,0,0,0,16,9,0,0,42,0,0,0
2013,0,0,9,3,0,0,0,0,11,0,0,0,0,0,0,2,3,0,0,27,0,0,0
2014,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,5,0,0,0,0,7,6
2015,0,202,51,3,23,19,0,0,548,55,237,121,0,2,26,845,1346,0,6,873,106,158,304
2016,0,41,4,1,0,7,0,0,9,9,22,0,0,7,3,19,14,0,1,41,9,0,17
2017,0,17,0,0,0,100,0,0,43,1,14,7,0,0,3,15,52,0,4,23,21,63,37
2018,0,27,5,0,2,26,0,0,34,1,18,2,0,4,0,30,9,0,6,43,3,17,43
2019,0,22,9,6,0,15,0,0,46,1,13,13,0,14,1,35,31,0,8,62,6,0,32
2020,0,31,3,8,0,14,0,0,225,3,17,23,0,20,3,33,59,0,16,88,4,87,74
2021,1,60,7,14,2,71,0,0,190,2,69,31,0,33,3,43,83,0,13,263,12,10,38
2022,0,80,22,29,16,132,0,0,113,1,22,54,0,16,4,70,86,0,8,178,37,8,108
2023,0,65,17,17,20,40,0,0,231,6,117,48,0,108,0,59,120,0,13,289,11,30,30
2024,0,15,6,5,11,66,0,0,77,3,11,33,0,47,0,73,39,0,4,94,10,0,56
