year,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total,class_total_max,class_total_min,class_total_min_non_zero,class_total_range_non_zero,class_total_range,class_total_mean,class_total_median,class_total_mode,class_total_std_dev,class_total_variance,class_total_q1,class_total_q2,class_total_q3,class_total_iqr,class_total_skewness,class_total_kurtosis,class_stereotyped_max,class_stereotyped_min,class_stereotyped_min_non_zero,class_stereotyped_range_non_zero,class_stereotyped_range,class_stereotyped_mean,class_stereotyped_median,class_stereotyped_mode,class_stereotyped_std_dev,class_stereotyped_variance,class_stereotyped_q1,class_stereotyped_q2,class_stereotyped_q3,class_stereotyped_iqr,class_stereotyped_skewness,class_stereotyped_kurtosis,class_non_stereotyped_max,class_non_stereotyped_min,class_non_stereotyped_min_non_zero,class_non_stereotyped_range_non_zero,class_non_stereotyped_range,class_non_stereotyped_mean,class_non_stereotyped_median,class_non_stereotyped_mode,class_non_stereotyped_std_dev,class_non_stereotyped_variance,class_non_stereotyped_q1,class_non_stereotyped_q2,class_non_stereotyped_q3,class_non_stereotyped_iqr,class_non_stereotyped_skewness,class_non_stereotyped_kurtosis,class_ontouml_max,class_ontouml_min,class_ontouml_min_non_zero,class_ontouml_range_non_zero,class_ontouml_range,class_ontouml_mean,class_ontouml_median,class_ontouml_mode,class_ontouml_std_dev,class_ontouml_variance,class_ontouml_q1,class_ontouml_q2,class_ontouml_q3,class_ontouml_iqr,class_ontouml_skewness,class_ontouml_kurtosis,class_non_ontouml_max,class_non_ontouml_min,class_non_ontouml_min_non_zero,class_non_ontouml_range_non_zero,class_non_ontouml_range,class_non_ontouml_mean,class_non_ontouml_median,class_non_ontouml_mode,class_non_ontouml_std_dev,class_non_ontouml_variance,class_non_ontouml_q1,class_non_ontouml_q2,class_non_ontouml_q3,class_non_ontouml_iqr,class_non_ontouml_skewness,class_non_ontouml_kurtosis,relation_total_max,relation_total_min,relation_total_min_non_zero,relation_total_range_non_zero,relation_total_range,relation_total_mean,relation_total_median,relation_total_mode,relation_total_std_dev,relation_total_variance,relation_total_q1,relation_total_q2,relation_total_q3,relation_total_iqr,relation_total_skewness,relation_total_kurtosis,relation_stereotyped_max,relation_stereotyped_min,relation_stereotyped_min_non_zero,relation_stereotyped_range_non_zero,relation_stereotyped_range,relation_stereotyped_mean,relation_stereotyped_median,relation_stereotyped_mode,relation_stereotyped_std_dev,relation_stereotyped_variance,relation_stereotyped_q1,relation_stereotyped_q2,relation_stereotyped_q3,relation_stereotyped_iqr,relation_stereotyped_skewness,relation_stereotyped_kurtosis,relation_non_stereotyped_max,relation_non_stereotyped_min,relation_non_stereotyped_min_non_zero,relation_non_stereotyped_range_non_zero,relation_non_stereotyped_range,relation_non_stereotyped_mean,relation_non_stereotyped_median,relation_non_stereotyped_mode,relation_non_stereotyped_std_dev,relation_non_stereotyped_variance,relation_non_stereotyped_q1,relation_non_stereotyped_q2,relation_non_stereotyped_q3,relation_non_stereotyped_iqr,relation_non_stereotyped_skewness,relation_non_stereotyped_kurtosis,relation_ontouml_max,relation_ontouml_min,relation_ontouml_min_non_zero,relation_ontouml_range_non_zero,relation_ontouml_range,relation_ontouml_mean,relation_ontouml_median,relation_ontouml_mode,relation_ontouml_std_dev,relation_ontouml_variance,relation_ontouml_q1,relation_ontouml_q2,relation_ontouml_q3,relation_ontouml_iqr,relation_ontouml_skewness,relation_ontouml_kurtosis,relation_non_ontouml_max,relation_non_ontouml_min,relation_non_ontouml_min_non_zero,relation_non_ontouml_range_non_zero,relation_non_ontouml_range,relation_non_ontouml_mean,relation_non_ontouml_median,relation_non_ontouml_mode,relation_non_ontouml_std_dev,relation_non_ontouml_variance,relation_non_ontouml_q1,relation_non_ontouml_q2,relation_non_ontouml_q3,relation_non_ontouml_iqr,relation_non_ontouml_skewness,relation_non_ontouml_kurtosis,total_unique_class_stereotypes,avg_unique_class_stereotypes_per_model,total_unique_relation_stereotypes,avg_unique_relation_stereotypes_per_model
2015,4925,4767,158,4752,173,2628,2483,145,2187,441,1.8740487062404871,1.9198550140958517,0.9679187817258883,0.03208121827411167,0.9448249619482496,0.05517503805175038,0.9648730964467005,0.03512690355329949,0.8321917808219178,0.1678082191780822,3760,25,25,3735,3735,615.625,135.5,25,1197.6840085661158,1434446.984375,44.75,135.5,349.0,304.25,2.200610667402162,2.966401932361121,3760,25,25,3735,3735,595.875,98.5,25,1205.0203771617307,1452074.109375,32.0,98.5,298.75,266.75,2.202469901402668,2.9692385508504087,91,0,67,24,91,19.75,0.0,0,34.73021019228072,1206.1875,0.0,0.0,16.75,16.75,1.2561462748183596,-0.27911113697220324,3760,25,25,3735,3735,594.0,92.5,25,1205.697412288838,1453706.25,32.0,92.5,296.5,264.5,2.2028119985143184,2.9698309914878536,91,0,12,79,91,21.625,0.0,0,34.61191088339388,1197.984375,0.0,0.0,26.5,26.5,1.1927160884774497,-0.4095171127496666,1782,9,9,1773,1773,328.5,106.0,9,559.7398949512175,313308.75,32.25,106.0,252.0,219.75,2.1101203253508447,2.7241856312509984,1778,6,6,1772,1772,310.375,83.0,6,564.4295654685357,318580.734375,24.0,83.0,195.75,171.75,2.1237693675583267,2.7499946755133626,75,0,3,72,75,18.125,8.5,0,23.41707443298586,548.359375,3.75,8.5,18.5,14.75,1.6796616157000137,1.4557020779350847,1670,3,3,1667,1667,273.375,37.0,3,537.6329922679597,289049.234375,22.5,37.0,136.5,114.0,2.1202758549926455,2.725261442568713,150,3,3,147,147,55.125,35.5,3,51.6101673607052,2663.609375,11.0,35.5,91.75,80.75,0.6246649508128581,-1.0627504782967716,17,9.375,9,4.75
2018,270,253,17,241,29,276,98,178,96,180,0.9782608695652174,2.5816326530612246,0.937037037037037,0.06296296296296296,0.35507246376811596,0.644927536231884,0.8925925925925926,0.10740740740740741,0.34782608695652173,0.6521739130434783,63,11,11,52,52,27.0,23.0,11,15.381807436059,236.6,15.25,23.0,32.25,17.0,1.096518814266083,0.42656855466530974,63,11,11,52,52,25.3,22.5,11,15.453478572800364,238.81,14.0,22.5,26.0,12.0,1.3762957312758202,0.9096215470942264,17,0,17,0,17,1.7,0.0,0,5.1000000000000005,26.01,0.0,0.0,0.0,0.0,2.666666666666667,5.1111111111111125,63,6,6,57,57,24.1,20.0,11,16.232375057273657,263.48999999999995,12.5,20.0,26.0,13.5,1.2792995938891707,0.7259438524822142,17,0,2,15,17,2.9,0.0,0,5.166236541235795,26.689999999999998,0.0,0.0,2.75,2.75,1.976316041063008,2.647879901639083,58,5,5,53,53,27.6,25.5,31,16.013744096868788,256.44,17.25,25.5,31.0,13.75,0.6598683586029351,-0.5487827389561413,45,0,1,44,45,9.8,3.5,2,13.577923257994943,184.36,2.0,3.5,10.25,8.25,1.7296177484110178,1.7143043827247357,31,0,8,23,31,17.8,15.5,29,9.80612053770501,96.16,12.25,15.5,28.0,15.75,-0.15472186906158772,-1.09662729339066,45,0,2,43,45,9.6,3.5,0,13.54400236266961,183.44,2.0,3.5,10.25,8.25,1.7538222243746222,1.8429767572252445,31,0,8,23,31,18.0,16.0,0,9.919677414109795,98.4,12.25,16.0,28.0,15.75,-0.1678113185388146,-1.1049226650803095,15,5.8,13,2.6
2019,314,314,0,303,11,295,208,87,129,166,1.064406779661017,1.5096153846153846,1.0,0.0,0.7050847457627119,0.29491525423728815,0.964968152866242,0.03503184713375796,0.43728813559322033,0.5627118644067797,69,18,18,51,51,44.857142857142854,39.0,18,18.271199596465404,333.83673469387753,32.0,39.0,62.0,30.0,0.08709077100881615,-1.428336715770669,69,18,18,51,51,44.857142857142854,39.0,18,18.271199596465404,333.83673469387753,32.0,39.0,62.0,30.0,0.08709077100881615,-1.428336715770669,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,68,18,18,50,50,43.285714285714285,39.0,18,16.515916874460274,272.7755102040816,32.0,39.0,57.0,25.0,0.029971612301244024,-1.2839464567234484,11,0,11,0,11,1.5714285714285714,0.0,0,3.8491981672307087,14.816326530612246,0.0,0.0,0.0,0.0,2.041241452319315,2.166666666666667,99,22,22,77,77,42.142857142857146,31.0,31,24.694872639758188,609.8367346938776,27.0,31.0,44.5,17.5,1.5737927014795676,1.1410938330527571,57,17,17,40,40,29.714285714285715,24.0,17,13.603720979562757,185.0612244897959,18.5,24.0,36.5,18.0,0.9144215925442405,-0.40848145531414914,42,4,4,38,38,12.428571428571429,7.0,4,12.647497130795063,159.95918367346937,4.0,7.0,13.0,9.0,1.688145736397611,1.3588736275488307,31,9,9,22,22,18.428571428571427,18.0,17,5.996597674804387,35.95918367346938,17.0,18.0,18.5,1.5,0.7571181546598823,0.6334826150759971,82,4,4,78,78,23.714285714285715,14.0,12,24.69074022910663,609.6326530612245,12.0,14.0,21.0,9.0,1.7593722019534532,1.51574330067886,17,7.285714285714286,10,3.5714285714285716
2022,984,976,8,974,10,987,580,407,578,409,0.9969604863221885,1.6827586206896552,0.991869918699187,0.008130081300813009,0.5876393110435664,0.41236068895643363,0.9898373983739838,0.01016260162601626,0.585612968591692,0.414387031408308,259,10,10,249,249,57.88235294117647,34.0,10,58.54900647465805,3427.9861591695503,24.0,34.0,66.0,42.0,2.3888816859363255,5.432901538317619,257,10,10,247,247,57.411764705882355,34.0,24,58.33075954117621,3402.477508650519,24.0,34.0,66.0,42.0,2.363678628025079,5.313556762299433,6,0,2,4,6,0.47058823529411764,0.0,0,1.459961605410689,2.131487889273356,0.0,0.0,0.0,0.0,3.2337570894005516,9.183589138134593,257,10,10,247,247,57.294117647058826,34.0,24,58.40403360957625,3411.0311418685123,24.0,34.0,66.0,42.0,2.3584869794873624,5.292847310299775,6,0,2,4,6,0.5882352941176471,0.0,0,1.4974025954538654,2.242214532871973,0.0,0.0,0.0,0.0,2.825517220296862,7.148376771833558,299,8,8,291,291,58.05882352941177,37.0,21,70.47692203687947,4966.996539792388,21.0,37.0,53.0,32.0,2.4646348855444726,5.4056547869461635,146,0,3,143,146,34.11764705882353,24.0,9,35.87868833746029,1287.280276816609,9.0,24.0,45.0,36.0,1.8120419901469345,3.0180043346068235,153,0,1,152,153,23.941176470588236,12.0,0,37.4958359856528,1405.937716262976,3.0,12.0,22.0,19.0,2.4874070651367566,5.566195618116955,146,0,3,143,146,34.0,23.0,9,35.85099883750882,1285.2941176470588,9.0,23.0,45.0,36.0,1.8227846365388578,3.057725176337521,153,0,1,152,153,24.058823529411764,12.0,0,37.47543601478534,1404.40830449827,3.0,12.0,22.0,19.0,2.4832978580600344,5.552892529913361,20,8.117647058823529,18,5.529411764705882
2016,204,204,0,196,8,143,111,32,77,66,1.4265734265734267,1.837837837837838,1.0,0.0,0.7762237762237763,0.22377622377622378,0.9607843137254902,0.0392156862745098,0.5384615384615384,0.46153846153846156,147,12,12,135,135,51.0,22.5,12,55.682133579811754,3100.5,16.5,22.5,57.0,40.5,1.1232115519647905,-0.6915409261439875,147,12,12,135,135,51.0,22.5,12,55.682133579811754,3100.5,16.5,22.5,57.0,40.5,1.1232115519647905,-0.6915409261439875,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,147,4,4,143,143,49.0,22.5,4,57.17079674099356,3268.5,14.5,22.5,57.0,42.5,1.0831853910045832,-0.7184691539100019,8,0,8,0,8,2.0,0.0,0,3.4641016151377544,12.0,0.0,0.0,2.0,2.0,1.1547005383792515,-0.6666666666666665,48,15,15,33,33,35.75,40.0,15,12.597122687344122,158.6875,31.5,40.0,44.25,12.75,-0.839526659019265,-0.9085219764272852,48,0,25,23,48,27.75,31.5,0,17.977416388346796,323.1875,18.75,31.5,40.5,21.75,-0.5167477355128871,-1.1516475729434503,15,0,5,10,15,8.0,8.5,0,5.873670062235365,34.5,3.75,8.5,12.75,9.0,-0.16284907544949973,-1.5645872715816005,38,0,16,22,38,19.25,19.5,0,13.663363421939708,186.6875,12.0,19.5,26.75,14.75,-0.05127109869433559,-1.1262165063226217,25,5,5,20,20,16.5,18.0,5,7.533259586659682,56.75,12.5,18.0,22.0,9.5,-0.4789333851985701,-1.2048749247996273,15,6.5,8,3.25
2023,1221,1191,30,1184,37,838,501,337,488,350,1.4570405727923628,2.377245508982036,0.9754299754299754,0.02457002457002457,0.5978520286396182,0.4021479713603819,0.9696969696969697,0.030303030303030304,0.5823389021479713,0.41766109785202865,197,18,18,179,179,71.82352941176471,42.0,42,62.01445305364914,3845.792387543253,31.0,42.0,61.0,30.0,1.2243219379851524,-0.2649594020500827,193,16,16,177,177,70.05882352941177,42.0,42,61.84750752335304,3825.114186851211,30.0,42.0,61.0,31.0,1.1967950735845934,-0.311129958309563,18,0,1,17,18,1.7647058823529411,0.0,0,4.263793005745911,18.17993079584775,0.0,0.0,1.0,1.0,3.217863231174729,9.393369910923267,193,9,9,184,184,69.6470588235294,42.0,42,62.22817706442352,3872.3460207612457,30.0,42.0,61.0,31.0,1.1778123030016003,-0.32438846061157367,18,0,1,17,18,2.176470588235294,0.0,0,4.592004485005586,21.08650519031142,0.0,0.0,1.0,1.0,2.5363779285409915,5.616719798100194,126,13,13,113,113,49.294117647058826,31.0,22,33.5449912205408,1125.2664359861592,22.0,31.0,68.0,46.0,0.9564900580425838,-0.1992582039979487,122,0,3,119,122,29.470588235294116,19.0,0,34.56812140254425,1194.955017301038,10.0,19.0,28.0,18.0,1.771177889203844,1.9006332857932957,77,0,3,74,77,19.823529411764707,14.0,0,22.5733713349514,509.5570934256055,4.0,14.0,28.0,24.0,1.3265907816040923,0.6894504697384853,122,0,3,119,122,28.705882352941178,19.0,0,34.93315415927355,1220.325259515571,6.0,19.0,28.0,22.0,1.7656579901393472,1.8622269408129393,77,0,3,74,77,20.58823529411765,14.0,0,23.447209349890187,549.7716262975779,4.0,14.0,28.0,24.0,1.2150083638266282,0.20808086131387382,17,8.058823529411764,15,4.588235294117647
2021,945,935,10,924,21,758,500,258,492,266,1.2467018469656992,1.87,0.9894179894179894,0.010582010582010581,0.6596306068601583,0.3403693931398417,0.9777777777777777,0.022222222222222223,0.6490765171503958,0.35092348284960423,182,17,17,165,165,55.588235294117645,52.0,32,38.7906277697096,1504.7128027681658,29.0,52.0,65.0,36.0,1.9126320546634183,3.9353800989261387,182,17,17,165,165,55.0,49.0,32,38.48758394140971,1481.2941176470588,29.0,49.0,64.0,35.0,1.9761547537994568,4.236209931843901,5,0,1,4,5,0.5882352941176471,0.0,0,1.4575896109839845,2.1245674740484435,0.0,0.0,0.0,0.0,2.332670744503833,3.7249148532079905,182,17,17,165,165,54.35294117647059,49.0,32,38.36962827162158,1472.2283737024222,29.0,49.0,64.0,35.0,2.0372046912722355,4.461629246259763,6,0,1,5,6,1.2352941176470589,0.0,0,2.015510788119037,4.062283737024222,0.0,0.0,1.0,1.0,1.3149846598372583,0.06107485003003621,147,9,9,138,138,44.588235294117645,40.0,16,32.460036648758646,1053.6539792387543,20.0,40.0,58.0,38.0,1.6652327171626535,3.1465796856086117,103,0,2,101,103,29.41176470588235,24.0,44,25.151444406024527,632.5951557093425,13.0,24.0,44.0,31.0,1.3510542879951541,1.8238850094822299,58,0,2,56,58,15.176470588235293,8.0,3,15.42051839411544,237.79238754325266,6.0,8.0,18.0,12.0,1.509581581840951,1.4264314543131178,102,0,2,100,102,28.941176470588236,23.0,44,24.955184745353833,622.7612456747406,13.0,23.0,44.0,31.0,1.3757629167386354,1.8426120028777326,58,0,2,56,58,15.647058823529411,8.0,7,15.273742083452696,233.2871972318339,7.0,8.0,18.0,11.0,1.534818988270537,1.4866818214338178,20,7.882352941176471,17,5.176470588235294
2020,708,621,87,612,96,557,214,343,165,392,1.2710951526032317,2.9018691588785046,0.8771186440677966,0.1228813559322034,0.38420107719928187,0.6157989228007181,0.864406779661017,0.13559322033898305,0.296229802513465,0.703770197486535,179,7,7,172,172,41.64705882352941,35.0,19,41.13670348608918,1692.2283737024218,19.0,35.0,42.0,23.0,2.285423899505175,4.757047466176815,179,7,7,172,172,36.529411764705884,30.0,19,37.7641561257401,1426.1314878892736,18.0,30.0,39.0,21.0,3.0664505459255893,8.9788030478697,60,0,1,59,60,5.117647058823529,0.0,0,14.82399625782141,219.75086505190316,0.0,0.0,0.0,0.0,3.0733596463265074,8.217667123881558,179,7,7,172,172,36.0,30.0,19,37.82933813232015,1431.0588235294117,16.0,30.0,37.0,21.0,3.090047259317213,9.069978611394577,60,0,2,58,60,5.647058823529412,0.0,0,14.704705835290353,216.22837370242215,0.0,0.0,2.0,2.0,3.046224312590488,8.137715488918936,70,0,6,64,70,32.76470588235294,22.0,22,23.64076591713536,558.885813148789,13.0,22.0,58.0,45.0,0.2873789593158798,-1.5094698053842472,69,0,6,63,69,12.588235294117647,7.0,0,17.68036073470625,312.5951557093426,0.0,7.0,16.0,16.0,1.9710464170761202,3.489437602437529,67,0,1,66,67,20.176470588235293,20.0,0,18.781202411289883,352.73356401384086,5.0,20.0,33.0,28.0,0.8651705001923131,-0.04534291484459807,38,0,3,35,38,9.705882352941176,6.0,0,11.939872429520259,142.560553633218,0.0,6.0,16.0,16.0,1.131432325090389,0.028380231407296286,67,0,1,66,67,23.058823529411764,20.0,6,18.001537804359916,324.0553633217993,7.0,20.0,38.0,31.0,0.7054678296369938,-0.20451274496549976,18,5.882352941176471,11,2.235294117647059
2013,55,55,0,55,0,33,33,0,30,3,1.6666666666666667,1.6666666666666667,1.0,0.0,1.0,0.0,1.0,0.0,0.9090909090909091,0.09090909090909091,45,10,10,35,35,27.5,27.5,10,17.5,306.25,18.75,27.5,36.25,17.5,0.0,-2.0,45,10,10,35,35,27.5,27.5,10,17.5,306.25,18.75,27.5,36.25,17.5,0.0,-2.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,45,10,10,35,35,27.5,27.5,10,17.5,306.25,18.75,27.5,36.25,17.5,0.0,-2.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,18,15,15,3,3,16.5,16.5,15,1.5,2.25,15.75,16.5,17.25,1.5,0.0,-2.0,18,15,15,3,3,16.5,16.5,15,1.5,2.25,15.75,16.5,17.25,1.5,0.0,-2.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,18,12,12,6,6,15.0,15.0,12,3.0,9.0,13.5,15.0,16.5,3.0,0.0,-2.0,3,0,3,0,3,1.5,1.5,0,1.5,2.25,0.75,1.5,2.25,1.5,0.0,-2.0,6,4.0,6,4.0
2024,455,455,0,455,0,492,432,60,422,70,0.9247967479674797,1.0532407407407407,1.0,0.0,0.8780487804878049,0.12195121951219512,1.0,0.0,0.8577235772357723,0.14227642276422764,119,28,28,91,91,65.0,56.0,28,29.5296461204668,872.0,42.5,56.0,83.5,41.0,0.5173844001193557,-0.8853744574170044,119,28,28,91,91,65.0,56.0,28,29.5296461204668,872.0,42.5,56.0,83.5,41.0,0.5173844001193557,-0.8853744574170044,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,119,28,28,91,91,65.0,56.0,28,29.5296461204668,872.0,42.5,56.0,83.5,41.0,0.5173844001193557,-0.8853744574170044,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,128,30,30,98,98,70.28571428571429,66.0,30,31.449343784724604,989.061224489796,48.0,66.0,86.0,38.0,0.4114750914591398,-0.7074129404531377,126,30,30,96,96,61.714285714285715,66.0,30,33.05715520434391,1092.7755102040815,30.0,66.0,75.0,45.0,0.7112270796139698,-0.5691068947973164,32,0,2,30,32,8.571428571428571,4.0,0,10.554039752722217,111.38775510204083,1.0,4.0,11.0,10.0,1.3741468619628558,0.6242767817831667,126,30,30,96,96,60.285714285714285,57.0,30,33.013911724407016,1089.918367346939,30.0,57.0,74.5,44.5,0.8429197162212716,-0.42171941849890127,32,0,2,30,32,10.0,4.0,0,11.674147261608201,136.28571428571428,1.0,4.0,16.0,15.0,0.9083124743318435,-0.7832825705734212,16,7.714285714285714,16,5.714285714285714
