Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,0,0.0,0,0.0,0.0,0.0
characterization,158,5.448275862068965,11,0.3793103448275862,0.04763340367802231,0.09016393442622951
comparative,15,0.5172413793103449,1,0.034482758620689655,0.004522158577027435,0.00819672131147541
componentOf,318,10.96551724137931,13,0.4482758620689655,0.09586976183298161,0.10655737704918032
creation,0,0.0,0,0.0,0.0,0.0
derivation,113,3.896551724137931,9,0.3103448275862069,0.03406692794694001,0.07377049180327869
externalDependence,8,0.27586206896551724,2,0.06896551724137931,0.002411817907747965,0.01639344262295082
historicalDependence,0,0.0,0,0.0,0.0,0.0
instantiation,0,0.0,0,0.0,0.0,0.0
manifestation,0,0.0,0,0.0,0.0,0.0
material,298,10.275862068965518,16,0.5517241379310345,0.0898402170636117,0.13114754098360656
mediation,1326,45.724137931034484,15,0.5172413793103449,0.3997588182092252,0.12295081967213115
memberOf,130,4.482758620689655,10,0.3448275862068966,0.03919204100090443,0.08196721311475409
participation,4,0.13793103448275862,1,0.034482758620689655,0.0012059089538739825,0.00819672131147541
participational,0,0.0,0,0.0,0.0,0.0
subCollectionOf,19,0.6551724137931034,4,0.13793103448275862,0.005728067530901417,0.03278688524590164
subQuantityOf,3,0.10344827586206896,2,0.06896551724137931,0.0009044317154054868,0.01639344262295082
termination,0,0.0,0,0.0,0.0,0.0
triggers,0,0.0,0,0.0,0.0,0.0
other,368,12.689655172413794,14,0.4827586206896552,0.11094362375640639,0.11475409836065574
none,557,19.20689655172414,24,0.8275862068965517,0.16792282182695206,0.19672131147540983
