Stereotype,x_value,y_value,quadrant
abstract,0.0108695652173913,1,Q3
category,3.2282608695652173,66,Q1
collective,0.7282608695652174,26,Q2
datatype,0.8478260869565217,20,Q4
enumeration,0.4347826086956521,5,Q3
event,3.760869565217391,41,Q1
historicalRole,0.25,4,Q3
historicalRoleMixin,0.0978260869565217,3,Q3
kind,9.91304347826087,77,Q1
mixin,0.1847826086956521,14,Q3
mode,2.880434782608696,46,Q1
phase,2.141304347826087,33,Q1
phaseMixin,0.217391304347826,8,Q3
quality,2.630434782608696,42,Q1
quantity,0.1195652173913043,7,Q3
relator,3.717391304347826,71,Q1
role,4.445652173913044,62,Q1
roleMixin,2.880434782608696,40,Q1
situation,0.7391304347826086,17,Q3
subkind,10.945652173913045,69,Q1
type,0.8369565217391305,20,Q3
