Stereotype,x_value,y_value,quadrant
abstract,0.0108695652173913,0.0014880952380952,Q3
category,0.717391304347826,0.0982142857142857,Q1
collective,0.2826086956521739,0.0386904761904761,Q1
datatype,0.217391304347826,0.0297619047619047,Q3
enumeration,0.0543478260869565,0.0074404761904761,Q3
event,0.4456521739130434,0.0610119047619047,Q1
historicalRole,0.0434782608695652,0.0059523809523809,Q3
historicalRoleMixin,0.0326086956521739,0.0044642857142857,Q3
kind,0.8369565217391305,0.1145833333333333,Q1
mixin,0.1521739130434782,0.0208333333333333,Q3
mode,0.5,0.0684523809523809,Q1
phase,0.358695652173913,0.0491071428571428,Q1
phaseMixin,0.0869565217391304,0.0119047619047619,Q3
quality,0.4565217391304347,0.0625,Q1
quantity,0.0760869565217391,0.0104166666666666,Q3
relator,0.7717391304347826,0.1056547619047619,Q1
role,0.6739130434782609,0.0922619047619047,Q1
roleMixin,0.4347826086956521,0.0595238095238095,Q1
situation,0.1847826086956521,0.025297619047619,Q3
subkind,0.75,0.1026785714285714,Q1
type,0.217391304347826,0.0297619047619047,Q3
