Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.6987704918032787,2,0.37383177570093457
20.0,4,0.8329918032786885,4,0.5981308411214953
30.0,6,0.9221311475409836,6,0.7850467289719626
40.0,8,0.9590163934426229,8,0.897196261682243
50.0,10,0.9774590163934426,10,0.9345794392523364
60.0,12,0.9897540983606558,12,0.9626168224299065
70.0,14,0.9959016393442623,14,0.9813084112149533
80.0,16,1.0,16,1.0
90.0,18,1.0,18,1.0
100.0,21,1.0,21,1.0
