Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1445,1,1445,14.941577913349189
mediation,1342,2,2787,28.818116016957916
subkind,1059,3,3846,39.76837969186227
relator,935,4,4781,49.43645951814703
none_r,735,5,5516,57.03650087891635
kind,708,6,6224,64.35735704684107
other_r,553,7,6777,70.07548340399131
other_c,412,8,7189,74.33564264295316
formal,319,9,7508,77.63416399545031
category,312,10,7820,80.86030400165443
material,312,11,8132,84.08644400785855
mode,296,12,8428,87.14714093682142
none_c,245,13,8673,89.68048805707785
characterization,176,14,8849,91.50036190673147
event,154,15,9003,93.09275152517836
type,139,16,9142,94.53003825871161
phase,137,17,9279,95.9466446075897
derivation,119,18,9398,97.17712749457141
collective,70,19,9468,97.90094095750182
mixin,68,20,9536,98.60407403577707
quantity,33,21,9569,98.94530038258712
enumeration,25,22,9594,99.20380519077655
situation,17,23,9611,99.37958846034536
participation,15,24,9626,99.53469134525902
comparative,15,25,9641,99.68979423017268
quality,13,26,9654,99.82421673043117
datatype,10,27,9664,99.92761865370696
manifestation,3,28,9667,99.9586392306897
instantiation,2,29,9669,99.97931961534483
triggers,2,30,9671,100.0
historicalRoleMixin,0,31,9671,100.0
historicalRole,0,32,9671,100.0
abstract,0,33,9671,100.0
phaseMixin,0,34,9671,100.0
componentOf,0,35,9671,100.0
bringsAbout,0,36,9671,100.0
roleMixin,0,37,9671,100.0
creation,0,38,9671,100.0
memberOf,0,39,9671,100.0
externalDependence,0,40,9671,100.0
historicalDependence,0,41,9671,100.0
subQuantityOf,0,42,9671,100.0
subCollectionOf,0,43,9671,100.0
participational,0,44,9671,100.0
termination,0,45,9671,100.0
