stereotype,total_correlation,rank
category,6.416121707241278,2
event,3.31584524080269,17
kind,4.907767113650305,11
mode,5.148820211703077,9
phase,3.933156345959395,14
relator,5.883643531630448,3
role,4.998740944796448,10
subkind,3.926105264248622,15
type,5.257265140082743,7
none_c,2.3969231157015334,18
other_c,4.513464495641598,13
characterization,4.610334736215707,12
derivation,5.161617712995469,8
formal,5.3753468015929275,5
material,5.798968503678132,4
mediation,6.908577092382931,1
none_r,3.3776338899506513,16
other_r,5.343681061766773,6
