Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,33,1,33,7.603686635944701
kind,29,2,62,14.285714285714285
relator,28,3,90,20.737327188940093
category,27,4,117,26.95852534562212
subkind,27,5,144,33.17972350230415
role,26,6,170,39.1705069124424
mediation,21,7,191,44.00921658986175
material,19,8,210,48.38709677419355
roleMixin,19,9,229,52.764976958525345
mode,17,10,246,56.68202764976959
componentOf,16,11,262,60.36866359447005
event,16,12,278,64.0552995391705
characterization,15,13,293,67.51152073732719
collective,12,14,305,70.27649769585254
formal,12,15,317,73.04147465437788
memberOf,12,16,329,75.80645161290323
other_c,10,17,339,78.11059907834101
derivation,10,18,349,80.4147465437788
other_r,9,19,358,82.48847926267281
mixin,9,20,367,84.56221198156682
phase,9,21,376,86.63594470046083
none_c,8,22,384,88.47926267281106
type,8,23,392,90.32258064516128
situation,6,24,398,91.70506912442397
datatype,6,25,404,93.08755760368663
quantity,5,26,409,94.23963133640552
enumeration,4,27,413,95.16129032258065
subCollectionOf,4,28,417,96.08294930875576
quality,4,29,421,97.00460829493088
externalDependence,3,30,424,97.6958525345622
subQuantityOf,2,31,426,98.15668202764977
participation,2,32,428,98.61751152073732
instantiation,1,33,429,98.84792626728111
manifestation,1,34,430,99.07834101382488
comparative,1,35,431,99.30875576036865
historicalDependence,1,36,432,99.53917050691244
bringsAbout,1,37,433,99.76958525345621
triggers,1,38,434,100.0
historicalRoleMixin,0,39,434,100.0
historicalRole,0,40,434,100.0
abstract,0,41,434,100.0
phaseMixin,0,42,434,100.0
creation,0,43,434,100.0
participational,0,44,434,100.0
termination,0,45,434,100.0
