Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5722943722943723,2,0.311340206185567
20.0,4,0.7396825396825397,4,0.5092783505154639
30.0,6,0.8447330447330448,6,0.6350515463917525
40.0,8,0.8992784992784992,8,0.7422680412371134
50.0,10,0.937950937950938,10,0.8247422680412371
60.0,12,0.9613275613275614,12,0.8845360824742268
70.0,14,0.9809523809523809,14,0.9381443298969072
80.0,16,0.9927849927849928,16,0.979381443298969
90.0,18,0.9985569985569985,18,0.9917525773195877
100.0,21,1.0,21,1.0
