year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,4,0,2,0,0,0,0,2,6,1,0,0,0,0,0,0,4,5
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2011,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2012,0,0,0,0,0,2,0,0,0,0,8,17,0,0,0,0,0,0,0,28,5
2013,0,0,0,11,0,2,0,0,0,0,2,4,4,0,0,7,0,0,0,0,3
2014,0,0,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0
2015,0,10,0,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,20,9
2016,0,14,0,0,0,0,6,0,0,0,0,14,1,4,0,0,0,0,0,27,34
2017,0,3,0,2,0,4,0,0,0,0,18,11,0,0,0,0,0,0,0,228,20
2018,3,18,0,10,0,6,2,5,2,3,14,16,4,11,0,0,0,0,2,178,2
2019,0,19,0,12,0,6,0,2,5,1,11,57,8,8,0,0,0,0,0,87,79
2020,0,33,0,12,4,4,10,0,4,3,6,27,0,11,0,0,0,0,2,302,12
2021,6,63,1,47,7,4,15,10,12,9,106,68,10,28,1,0,0,0,3,214,7
2022,7,46,0,11,14,23,17,12,31,5,41,100,3,29,1,0,0,1,4,176,2
2023,5,38,8,24,8,10,16,0,5,2,27,68,14,7,0,0,0,2,2,186,13
2024,5,61,4,11,1,5,5,6,4,11,34,45,1,18,0,0,0,0,2,49,10
