Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.23085402492542795,0.05082292480461538,-0.12382477386045393,0.37595143956513155,0.20675401619597825,0.2803290309022378,0.3638038095455819,0.19002580405449607,0.10144898024829813,0.02108610010283917,0.2155050079775636,-0.005821083416409068,0.004516780613714256
componentOf,0.23085402492542795,1.0,0.05015742280751346,-0.13998865014980372,0.06347788571308303,0.10854761815296289,0.2500053302130039,0.2343229252649172,0.26650906397679797,0.2569174680848361,0.2740608765655082,0.0029994799396331037,-0.13713334985705233,-0.013493905034150898
creation,0.05082292480461538,0.05015742280751346,1.0,0.026720350548173948,0.181301750002587,0.31235338534866625,0.3588032582079762,0.397765199123578,-0.029645706027930097,0.10278804073188796,0.19559093968725283,0.639204212127327,-0.029658716923032173,0.05575797340429938
derivation,-0.12382477386045393,-0.13998865014980372,0.026720350548173948,1.0,-0.12812149816900376,-0.16887416667168514,-0.21476248479791096,-0.22914597822940772,0.3125505418798891,0.28091709298675205,0.1334171480984617,-0.11334389499627354,0.10579894080478618,0.22747164169156261
externalDependence,0.37595143956513155,0.06347788571308303,0.181301750002587,-0.12812149816900376,1.0,0.30150580747169525,0.4853563461271195,0.4009871481602385,-0.28504466666223877,0.03864123813640045,0.12789026024716127,0.23557440314446026,0.034392048531112426,0.10384387769543096
historicalDependence,0.20675401619597825,0.10854761815296289,0.31235338534866625,-0.16887416667168514,0.30150580747169525,1.0,0.5298094536137963,0.5081968501076449,0.0031662633739118315,0.026631198783653543,0.123401982142981,0.5500672655264449,-0.1930533647505519,0.003354110308120939
instantiation,0.2803290309022378,0.2500053302130039,0.3588032582079762,-0.21476248479791096,0.4853563461271195,0.5298094536137963,1.0,0.7679949842603818,-0.157033552984505,0.025171206809568195,0.03165880622602931,0.48644892644184407,-0.092518254189077,0.19114881335931344
manifestation,0.3638038095455819,0.2343229252649172,0.397765199123578,-0.22914597822940772,0.4009871481602385,0.5081968501076449,0.7679949842603818,1.0,-0.10829759904587712,-0.009361705616136841,0.05835150700749081,0.564262965319224,-0.03009239929179452,0.295839818401693
material,0.19002580405449607,0.26650906397679797,-0.029645706027930097,0.3125505418798891,-0.28504466666223877,0.0031662633739118315,-0.157033552984505,-0.10829759904587712,1.0,0.30914708318999456,0.2112549641244111,-0.04548423806180056,-0.36613692805026365,0.07713246989392847
mediation,0.10144898024829813,0.2569174680848361,0.10278804073188796,0.28091709298675205,0.03864123813640045,0.026631198783653543,0.025171206809568195,-0.009361705616136841,0.30914708318999456,1.0,0.35209896657054945,-0.1120247340193055,-0.2659533035232308,0.08839702854760988
memberOf,0.02108610010283917,0.2740608765655082,0.19559093968725283,0.1334171480984617,0.12789026024716127,0.123401982142981,0.03165880622602931,0.05835150700749081,0.2112549641244111,0.35209896657054945,1.0,0.14495545376320704,-0.2986541631359514,0.21487885752547412
participation,0.2155050079775636,0.0029994799396331037,0.639204212127327,-0.11334389499627354,0.23557440314446026,0.5500672655264449,0.48644892644184407,0.564262965319224,-0.04548423806180056,-0.1120247340193055,0.14495545376320704,1.0,-0.03187533446391308,0.14823341974049592
none,-0.005821083416409068,-0.13713334985705233,-0.029658716923032173,0.10579894080478618,0.034392048531112426,-0.1930533647505519,-0.092518254189077,-0.03009239929179452,-0.36613692805026365,-0.2659533035232308,-0.2986541631359514,-0.03187533446391308,1.0,-0.039926304581537723
other,0.004516780613714256,-0.013493905034150898,0.05575797340429938,0.22747164169156261,0.10384387769543096,0.003354110308120939,0.19114881335931344,0.295839818401693,0.07713246989392847,0.08839702854760988,0.21487885752547412,0.14823341974049592,-0.039926304581537723,1.0
