Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none,89,1,89,18.237704918032787
mediation,64,2,153,31.352459016393443
characterization,55,3,208,42.62295081967213
material,41,4,249,51.02459016393443
componentOf,32,5,281,57.58196721311475
derivation,30,6,311,63.729508196721305
other,28,7,339,69.4672131147541
participation,24,8,363,74.38524590163934
memberOf,20,9,383,78.48360655737704
externalDependence,20,10,403,82.58196721311475
instantiation,15,11,418,85.65573770491804
creation,14,12,432,88.52459016393442
historicalDependence,14,13,446,91.39344262295081
manifestation,12,14,458,93.85245901639344
bringsAbout,11,15,469,96.10655737704919
triggers,9,16,478,97.95081967213115
comparative,4,17,482,98.77049180327869
participational,2,18,484,99.18032786885246
subCollectionOf,2,19,486,99.59016393442623
termination,2,20,488,100.0
subQuantityOf,0,21,488,100.0
