Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5777967064168086,2,0.3135245901639344
20.0,4,0.7424758659852356,4,0.5102459016393442
30.0,6,0.8458262350936968,6,0.6372950819672131
40.0,8,0.900908574673481,8,0.7438524590163934
50.0,10,0.9389551391254969,10,0.8258196721311475
60.0,12,0.9619534355479841,12,0.8852459016393442
70.0,14,0.9812606473594548,14,0.9385245901639344
80.0,16,0.9929017603634299,16,0.9795081967213115
90.0,18,0.998580352072686,18,0.9918032786885246
100.0,21,1.0,21,1.0
