stereotype,total_correlation,rank
bringsAbout,2.8192342530079277,6
characterization,2.777056866786746,8
componentOf,1.583103195987713,14
creation,2.7983053541788756,7
derivation,2.1881280409418364,11
externalDependence,3.2378034347405684,5
historicalDependence,3.542491298668307,4
instantiation,4.125211466770126,2
manifestation,4.153543308832613,1
material,2.313446973902847,9
mediation,2.1979719310144485,10
memberOf,2.014563026146425,12
participation,3.894398040754262,3
none,1.083658727727399,15
other,1.6203140624774504,13
