stereotype,total_correlation,rank
category,3.530657340283761,13
event,3.721219688862151,10
kind,4.622887661053766,2
mode,3.995564456691502,9
phase,2.863896260891839,18
quality,3.2716442879923853,16
relator,4.46829849082797,4
role,3.295600289881304,15
roleMixin,3.552156365362126,12
subkind,3.631164738989322,11
type,4.39070833558904,5
none_c,1.8783731061153208,20
characterization,4.54991578692569,3
componentOf,4.0067424395544995,8
derivation,3.3030739270393425,14
material,4.070942909930506,7
mediation,5.2438428627628335,1
memberOf,4.294697348358425,6
none_r,2.5419337241729223,19
other_r,3.0123786700449617,17
