stereotype,total_correlation,rank
category,3.6593655369772353,22
collective,4.099846900544543,18
datatype,2.5406328867359553,30
event,5.514626572558178,8
kind,5.268282275618213,9
mixin,3.3321646309843524,25
mode,4.582628344904009,12
phase,3.1635230105423453,28
quality,4.4281726736718365,15
relator,4.335343214779467,16
role,3.5567497285541023,23
roleMixin,3.9243747857228364,20
situation,4.5414364592358245,13
subkind,3.556126647033869,24
type,6.115658052976561,4
none_c,1.9939568421205522,31
other_c,3.2682716898810735,26
characterization,5.5631561532213265,7
componentOf,4.004322325920432,19
creation,4.223884815982339,17
derivation,3.8039869796133825,21
externalDependence,5.572968768280516,6
historicalDependence,5.794316764865419,5
instantiation,6.6612156121434,1
manifestation,6.393669805015715,2
material,4.476906854173611,14
mediation,5.216238244220918,10
memberOf,4.699233466915988,11
participation,6.172217774377313,3
none_r,2.5661208505240776,29
other_r,3.2157405863695203,27
