Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4954930894037524,4,0.27333831217326365
20.0,8,0.6976697602991253,8,0.4876773711725168
30.0,12,0.8396207518194565,12,0.6415235250186706
40.0,16,0.907391333377846,16,0.760268857356236
50.0,20,0.9497229084596381,20,0.8439133681852129
60.0,24,0.9703545436335714,24,0.905899925317401
70.0,28,0.9844428123122121,28,0.9484690067214339
80.0,32,0.9929892501836148,32,0.9768483943241225
90.0,36,0.9980636976697603,36,0.9917849141150112
100.0,40,1.0,40,1.0
