stereotype,total_correlation,rank
category,4.560661215936562,23
collective,4.151301759630919,26
datatype,3.124253822412361,33
event,6.8960268794628625,6
kind,7.045547902344449,5
mixin,3.251977470268428,32
mode,4.755108745418112,19
phase,4.132529404478282,27
phaseMixin,3.891841433514351,29
quality,4.840133314064444,18
relator,5.3712859641919435,15
role,4.678340192844018,20
roleMixin,4.8495147815429736,17
situation,6.447836327889105,9
subkind,4.426827246095477,25
type,8.138353285855814,2
none_c,2.7651643787865767,34
other_c,4.046794595895431,28
bringsAbout,6.797585391160354,8
characterization,5.756510709397924,13
componentOf,4.664695236946323,21
creation,5.401117109572883,14
derivation,4.440756034233269,24
externalDependence,5.95230313762945,11
historicalDependence,6.865080027070062,7
instantiation,8.203815193434583,1
manifestation,7.795729709196369,3
material,4.5622100059472075,22
mediation,5.876485529326701,12
memberOf,5.262676705716658,16
participation,7.452457589659167,4
triggers,6.013059044387744,10
none_r,3.405260993800133,31
other_r,3.7883416515304464,30
