Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4337924701561065,4,0.25164113785557984
20.0,8,0.6150596877869605,8,0.45951859956236324
30.0,13,0.7689623507805325,13,0.6301969365426696
40.0,17,0.8543617998163453,17,0.7308533916849015
50.0,22,0.9127640036730946,22,0.824945295404814
60.0,26,0.9469237832874197,26,0.8862144420131292
70.0,30,0.9715335169880625,30,0.9343544857768052
80.0,35,0.9915518824609734,35,0.9781181619256017
90.0,39,0.9988980716253444,39,0.9945295404814004
100.0,44,1.0,44,1.0
