Construct,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,25th Percentile (Q1),75th Percentile (Q3),Interquartile Range (IQR)
bringsAbout,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
characterization,5.448275862068965,0.0,0,18.696038936662017,349.5418719211822,5.106811202570836,26.855569181855476,0.0,3.0,3.0
comparative,0.5172413793103449,0.0,0,2.785430072655778,7.758620689655174,5.385164807134505,28.999999999999968,0.0,0.0,0.0
componentOf,10.96551724137931,0.0,0,35.265809786554996,1243.6773399014783,4.236297206915765,18.6556146840021,0.0,5.0,5.0
creation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derivation,3.896551724137931,0.0,0,12.921037186326929,166.95320197044333,4.192954353689394,18.23601889973044,0.0,2.0,2.0
externalDependence,0.27586206896551724,0.0,0,1.1617890060511338,1.3497536945812814,4.6995228790779535,22.950929724545777,0.0,0.0,0.0
historicalDependence,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manifestation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
material,10.275862068965518,1.0,0,32.38925808673096,1049.0640394088668,3.9461181985455243,15.61194551020918,0.0,5.0,5.0
mediation,45.724137931034484,4.0,0,194.1265964982137,37685.135467980275,5.256373720691007,27.979271868522353,0.0,11.0,11.0
memberOf,4.482758620689655,0.0,0,21.273089455351084,452.5443349753694,5.370916369157539,28.89339296684358,0.0,1.0,1.0
participation,0.13793103448275862,0.0,0,0.7427813527082076,0.5517241379310347,5.3851648071345,28.99999999999999,0.0,0.0,0.0
participational,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subCollectionOf,0.6551724137931034,0.0,0,2.224472041197408,4.9482758620689635,4.127976061652169,18.009874798642436,0.0,0.0,0.0
subQuantityOf,0.10344827586206896,0.0,0,0.40925259281898757,0.16748768472906403,4.2042207318528435,18.08737024221453,0.0,0.0,0.0
termination,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triggers,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
