Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,0,0.0,0,0.0,0.0,0.0
characterization,158,5.448275862068965,11,0.3793103448275862,0.06605351170568562,0.13095238095238096
comparative,15,0.5172413793103449,1,0.034482758620689655,0.006270903010033445,0.011904761904761904
componentOf,318,10.96551724137931,13,0.4482758620689655,0.13294314381270902,0.15476190476190477
creation,0,0.0,0,0.0,0.0,0.0
derivation,113,3.896551724137931,9,0.3103448275862069,0.04724080267558529,0.10714285714285714
externalDependence,8,0.27586206896551724,2,0.06896551724137931,0.0033444816053511705,0.023809523809523808
historicalDependence,0,0.0,0,0.0,0.0,0.0
instantiation,0,0.0,0,0.0,0.0,0.0
manifestation,0,0.0,0,0.0,0.0,0.0
material,298,10.275862068965518,16,0.5517241379310345,0.1245819397993311,0.19047619047619047
mediation,1326,45.724137931034484,15,0.5172413793103449,0.5543478260869565,0.17857142857142858
memberOf,130,4.482758620689655,10,0.3448275862068966,0.05434782608695652,0.11904761904761904
participation,4,0.13793103448275862,1,0.034482758620689655,0.0016722408026755853,0.011904761904761904
participational,0,0.0,0,0.0,0.0,0.0
subCollectionOf,19,0.6551724137931034,4,0.13793103448275862,0.00794314381270903,0.047619047619047616
subQuantityOf,3,0.10344827586206896,2,0.06896551724137931,0.001254180602006689,0.023809523809523808
termination,0,0.0,0,0.0,0.0,0.0
triggers,0,0.0,0,0.0,0.0,0.0
