model_id,stereotype,count
barcelos2024resiliont,formal,10
barcelos2024resiliont,externalDependence,5
barcelos2024resiliont,instantiation,4
barcelos2024resiliont,historicalDependence,3
barcelos2024resiliont,bringsAbout,2
barcelos2024resiliont,triggers,2
bernasconi2021ontovcm,mediation,19
bernasconi2021ontovcm,participation,14
bernasconi2021ontovcm,instantiation,9
bernasconi2021ontovcm,creation,6
bernasconi2021ontovcm,componentOf,5
bernasconi2021ontovcm,externalDependence,3
bernasconi2021ontovcm,memberOf,2
bernasconi2021ontovcm,manifestation,2
bernasconi2021ontovcm,historicalDependence,1
bernasconi2021ontovcm,formal,1
bernasconi2023fair-principles,externalDependence,11
bernasconi2023fair-principles,mediation,8
bernasconi2023fair-principles,componentOf,6
bernasconi2023fair-principles,memberOf,2
bernasconi2023fair-principles,characterization,2
blums2024ccf,termination,15
blums2024ccf,creation,15
blums2024ccf,externalDependence,14
blums2024ccf,manifestation,6
blums2024ccf,mediation,5
blums2024ccf,characterization,4
blums2024ccf,participation,3
blums2024ccf,instantiation,3
blums2024ccf,memberOf,1
blums2025cofris,termination,14
blums2025cofris,creation,11
blums2025cofris,mediation,9
blums2025cofris,externalDependence,6
blums2025cofris,characterization,4
blums2025cofris,bringsAbout,4
blums2025cofris,manifestation,3
blums2025cofris,participation,2
brazilian-governmental-organizational-structures,Formal,5
brazilian-governmental-organizational-structures,componentOf,2
buridan-ontology2021,mediation,17
buridan-ontology2021,componentOf,7
buridan-ontology2021,characterization,6
buridan-ontology2021,material,5
calhau2024capabilities,formal,9
calhau2024capabilities,characterization,5
calhau2024capabilities,participation,4
calhau2024capabilities,manifestation,1
calhau2024capabilities,triggers,1
calhau2024capabilities,material,1
calhau2024capabilities,componentOf,1
calhau2024capabilities,bringsAbout,1
calhau2024capabilities,historicalDependence,1
calhau2024capabilities,creation,1
carolla2014campus-management,material,5
carolla2014campus-management,derivation,5
carolla2014campus-management,componentOf,3
castro2012cloudvulnerability,mediation,13
castro2012cloudvulnerability,material,6
castro2012cloudvulnerability,formal,5
castro2012cloudvulnerability,derivation,2
cgts2021sebim,mediation,2
cgts2021sebim,derivation,1
chartered-service,mediation,5
chartered-service,formal,4
chartered-service,characterization,2
chartered-service,part-of,1
chartered-service,memberOf,1
clergy-ontology,mediation,14
clergy-ontology,material,7
clergy-ontology,derivation,6
clergy-ontology,memberOf,3
clergy-ontology,subCollectionOf,3
cmpo2017,material,6
construction-model,material,3
construction-model,mediation,2
construction-model,subCollectionOf,2
core-o2023,instantiation,5
core-o2023,characterization,4
core-o2023,componentOf,2
core-o2023,manifestation,2
core-o2023,triggers,2
core-o2023,bringsAbout,2
core-o2023,creation,1
core-o2023,participation,1
cunha2025soberana,mediation,20
cunha2025soberana,participation,11
cunha2025soberana,material,11
cunha2025soberana,historicalDependence,9
cunha2025soberana,componentOf,8
cunha2025soberana,characterization,7
cunha2025soberana,creation,6
cunha2025soberana,externalDependence,6
cunha2025soberana,termination,3
cunha2025soberana,instantiation,2
dcat-mlt-ufo2023,mediation,6
dcat-mlt-ufo2023,characterization,3
demori2023miscon,characterization,9
demori2023miscon,mediation,2
demori2023miscon,material,1
demori2023miscon,derivation,1
derave2019dpo,participation,51
derave2019dpo,mediation,38
derave2019dpo,creation,11
derave2019dpo,memberOf,10
derave2019dpo,participational,8
derave2019dpo,historicalDependence,7
derave2019dpo,subCollectionOf,5
derave2019dpo,instantiation,4
derave2019dpo,characterization,4
derave2019dpo,externalDependence,4
derave2019dpo,componentOf,2
derave2019dpo,material,1
derave2019dpo,subQuantityOf,1
digitaldoctor2022,material,9
digitaldoctor2022,mediation,8
digitaldoctor2022,componentOf,5
digitaldoctor2022,derivation,1
dpo2017,material,6
dpo2017,componentOf,1
duarte2018reqon,componentOf,1
duarte2020jogabilidade,characterization,4
duarte2020jogabilidade,structuration,4
duarte2020jogabilidade,mediation,2
duarte2020jogabilidade,participation,2
duarte2020jogabilidade,material,1
duarte2020jogabilidade,triggers,1
duarte2020jogabilidade,derivation,1
elghosh2020cargos,characterization,4
elghosh2020cargos,mediation,2
elghosh2020cargos,material,1
elghosh2020cargos,formal,1
elghosh2020cargos,triggers,1
elghosh2020cargos,derivation,1
elghosh2024eucaim,material,14
elghosh2024eucaim,characterization,9
elghosh2024eucaim,participation,4
elghosh2024eucaim,bringsAbout,3
elghosh2025crimonto,material,30
elghosh2025crimonto,characterization,12
elghosh2025crimonto,mediation,11
elghosh2025crimonto,externalDependence,8
elikan2018brand-identity,characterization,8
elikan2018brand-identity,formal,5
elikan2018brand-identity,memberOf,5
elikan2018brand-identity,material,3
elikan2018brand-identity,mediation,2
elikan2018brand-identity,derivation,1
eu-rent-refactored2022,mediation,26
eu-rent-refactored2022,derivation,11
eu-rent-refactored2022,material,11
experiment2013,Formal,12
experiment2013,componentOf,12
experiment2013,characterization,1
experiment2013,memberOf,1
falduci2022non-consensual-pornography,mediation,11
falduci2022non-consensual-pornography,characterization,8
falduci2022non-consensual-pornography,material,4
falduci2022non-consensual-pornography,creation,4
falduci2022non-consensual-pornography,derivation,4
fernandez-cejas2022curie-o,participation,5
fernandez-cejas2022curie-o,mediation,4
fernandez-cejas2022curie-o,historicalDependence,4
fernandez-cejas2022curie-o,creation,3
fernandez-cejas2022curie-o,memberOf,1
fernandez-cejas2022curie-o,characterization,1
ferreira2015ontoemergeplan,formal,69
ferreira2015ontoemergeplan,mediation,16
ferreira2015ontoemergeplan,characterization,7
ferreira2015ontoemergeplan,material,6
ferreira2015ontoemergeplan,componentOf,5
ferreira2015ontoemergeplan,sum,2
ferreira2015ontoemergeplan,memberOf,2
ferreira2024ontopix,participation,14
ferreira2024ontopix,instantiation,9
ferreira2024ontopix,characterization,5
ferreira2024ontopix,material,3
ferreira2024ontopix,creation,2
ferreira2024ontopix,componentOf,2
ferreira2024ontopix,mediation,2
ferreira2024ontopix,historicalDependence,1
ferreira2024ontopix,manifestation,1
ferreira2024ontopix,derivation,1
fischer2018ontorea,formal,10
fischer2018ontorea,mediation,4
fischer2018ontorea,derivation,2
fischer2018ontorea,material,2
fischer2018ontorea,memberOf,1
fonseca2022incorporating,mediation,12
fonseca2022incorporating,instantiation,4
fonseca2022incorporating,characterization,3
fonseca2022incorporating,derivation,1
fonseca2022incorporating,externalDependence,1
formula-one2023,mediation,4
formula-one2023,material,2
formula-one2023,componentOf,1
formula-one2023,memberOf,1
formula-one2023,characterization,1
formula-one2023,derivation,1
fraller2019abc,formal,16
fraller2019abc,mediation,12
fraller2019abc,material,6
franco2018rpg,componentOf,5
franco2018rpg,characterization,4
franco2018rpg,mediation,2
franco2018rpg,memberOf,1
freshbz2023,mediation,26
freshbz2023,componentOf,19
freshbz2023,characterization,18
fumagalli2022criminal-investigation,mediation,7
fumagalli2022criminal-investigation,material,2
g809-2015,componentOf,8
g809-2015,mediation,6
g809-2015,material,2
g809-2015,derivation,2
garcia2022human-genome-events,historicalDependence,1
garcia2022human-genome-events,termination,1
garcia2022human-genome-events,creation,1
garcia2022human-genome-events,participation,1
garcia2022human-genome-events,participational,1
garcia2022human-genome-events,instantiation,1
garcia2022human-genome-events,externalDependence,1
genealogy2013,mediation,2
genealogy2013,material,1
genealogy2013,derivation,1
gi2mo,mediation,27
gi2mo,derivation,11
gi2mo,material,10
gi2mo,characterization,3
gi2mo,formal,1
gi2mo,memberOf,1
gi2mo,subCollectionOf,1
gomes2022digital-technology,characterization,2
gomes2022digital-technology,mediation,2
gomes2022digital-technology,participation,2
goncalves2011ecg,mediation,24
goncalves2011ecg,componentOf,21
goncalves2011ecg,material,12
goncalves2011ecg,participation,10
goncalves2011ecg,derivation,6
goncalves2011ecg,characterization,5
goncalves2011ecg,subCollectionOf,3
goncalves2011ecg,memberOf,2
goncalves2011ecg,historicalDependence,2
goncalves2011ecg,creation,2
guarino2016value,formal,9
guarino2016value,characterization,8
guarino2016value,mediation,8
guarino2018rea,characterization,2
guarino2018rea,mediation,2
guizzardi2005ontological,mediation,6
guizzardi2005ontological,formal,5
guizzardi2005ontological,componentOf,4
guizzardi2005ontological,derivation,2
guizzardi2005ontological,material,2
guizzardi2005ontological,characterization,1
guizzardi2005ontological,memberOf,1
guizzardi2020decision-making,mediation,7
guizzardi2020decision-making,characterization,6
guizzardi2020decision-making,externalDependence,4
guizzardi2020decision-making,manifestation,3
guizzardi2020decision-making,participation,3
guizzardi2020decision-making,creation,3
guizzardi2020decision-making,instantiation,1
guizzardi2020decision-making,internal,1
guizzardi2022ufo,mediation,14
guizzardi2022ufo,formal,5
guizzardi2022ufo,componentOf,5
guizzardi2022ufo,characterization,4
guizzardi2022ufo,externalDependence,3
guizzardi2022ufo,instantiation,2
guizzardi2022ufo,derivation,1
guizzardi2022ufo,memberOf,1
guizzardi2022ufo,manifestation,1
guizzardi2022ufo,material,1
haridy2021egyptian-e-government,mediation,14
haridy2021egyptian-e-government,characterization,2
health-organizations,material,6
health-organizations,Formal,4
health-organizations,mediation,2
health-organizations,derivation,1
heirbrant2023boekbazaar,crud,4
heirbrant2023boekbazaar,r,3
heirbrant2023boekbazaar,ru,3
heirbrant2023boekbazaar,mediation,2
heirbrant2023boekbazaar,creation,2
heirbrant2023boekbazaar,derivation,1
heirbrant2023boekbazaar,participation,1
heirbrant2023boekbazaar,cru,1
heirbrant2023boekbazaar,crd,1
heirbrant2023boekbazaar,cr,1
idaf2013,memberOf,10
idaf2013,mediation,7
idaf2013,componentOf,6
idaf2013,material,2
internal-affairs2013,mediation,22
internal-affairs2013,material,8
internal-affairs2013,derivation,8
internal-affairs2013,formal,6
internal-affairs2013,componentOf,6
internal-affairs2013,memberOf,4
internship,mediation,13
internship,material,3
internship,derivation,1
it-infrastructure,componentOf,12
it-infrastructure,memberOf,2
it-infrastructure,Formal,1
junior2018o4c,mediation,2
junior2018o4c,componentOf,2
junior2018o4c,material,1
kostov2017towards,material,2
kostov2017towards,haspart,1
kritz2020ontobg,causal,37
kritz2020ontobg,componentOf,32
laurier2018rea,formal,1
leao2024ontomed,instantiation,7
leao2024ontomed,mediation,4
leao2024ontomed,participation,2
leao2024ontomed,characterization,1
leao2024ontomed,manifestation,1
leao2024ontomed,creation,1
leao2024ontomed,historicalDependence,1
library,mediation,37
library,memberOf,4
library,derivation,1
library,formal,1
library,material,1
lindeberg2022full-ontorights,mediation,26
lindeberg2022full-ontorights,characterization,22
lindeberg2022full-ontorights,material,20
lindeberg2022full-ontorights,componentOf,13
lindeberg2022full-ontorights,comparative,9
lindeberg2022full-ontorights,bringsAbout,4
lindeberg2022full-ontorights,creation,4
lindeberg2022full-ontorights,derivation,4
lindeberg2022full-ontorights,memberOf,3
lindeberg2022full-ontorights,participation,2
lindeberg2022full-ontorights,termination,2
lindeberg2022full-ontorights,triggers,1
lindeberg2022simple-ontorights,mediation,17
lindeberg2022simple-ontorights,material,13
lindeberg2022simple-ontorights,componentOf,11
lindeberg2022simple-ontorights,comparative,8
lindeberg2022simple-ontorights,bringsAbout,3
lindeberg2022simple-ontorights,creation,3
lindeberg2022simple-ontorights,participation,2
lindeberg2022simple-ontorights,termination,2
lindeberg2022simple-ontorights,memberOf,1
lindeberg2022simple-ontorights,derivation,1
lindeberg2024legal-enforcement,creation,11
lindeberg2024legal-enforcement,participation,9
lindeberg2024legal-enforcement,mediation,7
lindeberg2024legal-enforcement,characterization,5
lindeberg2024legal-enforcement,historicalDependence,5
lindeberg2024legal-enforcement,termination,5
lindeberg2024legal-enforcement,manifestation,5
lindeberg2024legal-enforcement,externalDependence,4
lindeberg2024legal-enforcement,material,4
machacova2023gym,characterization,8
machacova2023gym,mediation,6
machacova2023gym,componentOf,4
machacova2023gym,material,3
maddalena2021ontocovid,characterization,12
maddalena2021ontocovid,externalDependence,2
martinez2013human-genome,mediation,4
martinez2013human-genome,derivation,2
martinez2013human-genome,subCollectionOf,2
martinez2013human-genome,memberOf,2
martinez2013human-genome,material,2
martinez2013human-genome,formal,2
martinez2013human-genome,Formal,1
mgic-antt2011,mediation,1047
mgic-antt2011,componentOf,176
mgic-antt2011,material,154
mgic-antt2011,memberOf,115
mgic-antt2011,Formal,107
mgic-antt2011,characterization,101
mgic-antt2011,derivation,64
mgic-antt2011,subCollectionOf,11
mgic-antt2011,subQuantityOf,2
mgic-antt2011,sum,1
moreira2018saref4health,formal,5
moreira2018saref4health,characterization,2
moreira2018saref4health,componentOf,1
music-ontology,mediation,6
music-ontology,componentOf,3
music-ontology,memberOf,3
music-ontology,material,1
music-ontology,formal,1
nardi2015ufo-s,formal,16
nardi2015ufo-s,sum,9
nardi2015ufo-s,characterization,6
nardi2015ufo-s,externalDependence,6
nardi2015ufo-s,mediation,6
nardi2015ufo-s,participation,4
nardi2015ufo-s,memberOf,1
niederkofler2019dssapple,participation,8
niederkofler2019dssapple,formal,8
niederkofler2019dssapple,mediation,8
niederkofler2019dssapple,instantiation,5
niederkofler2019dssapple,characterization,4
niederkofler2019dssapple,memberOf,2
niederkofler2019dssapple,historicalDependence,2
niederkofler2019dssapple,componentOf,1
niederkofler2019dssapple,manifestation,1
o3ontology2015,Formal,68
o3ontology2015,mediation,43
o3ontology2015,componentOf,9
o3ontology2015,material,7
o3ontology2015,characterization,5
o3ontology2015,sum,5
o3ontology2015,derivation,2
o3ontology2015,PartOf,2
o3ontology2015,memberOf,2
o3ontology2015,subQuantityOf,1
o3ontology2015,subCollectionOf,1
oliveira2022rose,characterization,15
oliveira2022rose,participation,7
oliveira2022rose,instantiation,7
oliveira2022rose,historicalDependence,4
oliveira2022rose,bringsAbout,4
oliveira2022rose,manifestation,3
oliveira2022rose,triggers,3
oliveira2022rose,externalDependence,2
oliveira2024phishing,characterization,20
oliveira2024phishing,participation,15
oliveira2024phishing,instantiation,8
oliveira2024phishing,manifestation,7
oliveira2024phishing,historicalDependence,5
oliveira2024phishing,bringsAbout,4
oliveira2024phishing,triggers,4
oliveira2024phishing,externalDependence,4
oliveira2024phishing,participational,1
online-mentoring,material,7
online-mentoring,mediation,6
online-mentoring,memberOf,2
online-mentoring,derivation,1
parking-business2013,mediation,11
parking-business2013,Formal,8
parking-business2013,componentOf,1
parking-business2013,memberOf,1
peixoto2025anchorlogy,manifestation,13
peixoto2025anchorlogy,externalDependence,10
peixoto2025anchorlogy,characterization,10
peixoto2025anchorlogy,creation,6
peixoto2025anchorlogy,participation,4
peixoto2025anchorlogy,comparative,1
peixoto2025anchorlogy,historicalDependence,1
peixoto2025anchorlogy,instantiation,1
pereira2015doacao-orgaos,mediation,6
photography,memberOf,5
photography,mediation,4
photography,material,2
piest2024dsr-kb,mediation,21
piest2024dsr-kb,material,16
piest2024dsr-kb,characterization,16
piest2024dsr-kb,componentOf,8
piest2024dsr-kb,comparative,3
piest2024dsr-kb,manifestation,1
piest2024dsr-kb,historicalDependence,1
pinheiro2024api,mediation,12
pinheiro2024api,derivation,5
pinheiro2024api,participation,4
pinheiro2024api,material,4
pinheiro2024api,historicalDependence,2
pinheiro2024api,creation,1
pinheiro2024api,comparative,1
pinheiro2024api,memberOf,1
plato-ontology2019,componentOf,24
plato-ontology2019,memberOf,7
plato-ontology2019,mediation,6
plato-ontology2019,characterization,4
plato-ontology2019,material,2
plato-ontology2019,derivation,1
porello2020coex,externalDependence,6
porello2020coex,characterization,5
porello2020coex,participation,4
porello2020coex,mediation,4
porello2020coex,componentOf,2
porello2020coex,instantiation,2
porello2020coex,manifestation,1
porello2020coex,creation,1
porello2020coex,historicalDependence,1
ppo-o2021,participation,6
ppo-o2021,triggers,2
ppo-o2021,bringsAbout,2
ppo-o2021,derivation,1
ppo-o2021,characterization,1
ppo-o2021,material,1
project-assets2013,mediation,14
project-assets2013,derivation,6
project-assets2013,material,6
project-assets2013,memberOf,1
project-assets2013,Formal,1
project-management-ontology,characterization,2
project-management-ontology,formal,2
project-management-ontology,mediation,2
project-management-ontology,componentOf,1
public-expense-ontology2020,componentOf,6
public-organization2013,memberOf,10
public-organization2013,componentOf,9
public-organization2013,mediation,6
public-organization2013,derivation,3
public-organization2013,material,3
public-tender,mediation,37
public-tender,componentOf,1
public-tender,Formal,1
qam,mediation,13
qam,formal,5
qam,characterization,1
qam,memberOf,1
quality-assurance-process-ontology2017,componentOf,1
ramirez2015userfeedback,mediation,12
ramirez2015userfeedback,componentOf,9
ramirez2015userfeedback,characterization,7
ramos2021bias,characterization,8
ramos2021bias,participation,6
ramos2021bias,manifestation,4
ramos2021bias,creation,3
ramos2021bias,formal,1
ramos2021bias,externalDependence,1
ramos2021bias,instantiation,1
real-estate-ontology,mediation,5
recommendation-ontology,mediation,4
recommendation-ontology,formal,3
recommendation-ontology,material,2
recommendation-ontology,derivation,1
repa2021public-administration,mediation,2
road-accident2013,mediation,6
road-accident2013,derivation,1
road-accident2013,material,1
rocha2023ciencia-aberta,mediation,6
rodrigues2017urinary-profiles,mediation,11
rodrigues2017urinary-profiles,presentAt,8
rodrigues2017urinary-profiles,induces,7
rodrigues2017urinary-profiles,derivation,4
rodrigues2017urinary-profiles,material,4
rodrigues2017urinary-profiles,characterization,3
rodrigues2017urinary-profiles,pos-state,2
rodrigues2017urinary-profiles,pre-state,2
rodrigues2019ontocrime,mediation,12
rodrigues2019ontocrime,derivation,5
rodrigues2019turbidite,induces,18
rodrigues2019turbidite,mediation,14
rodrigues2019turbidite,beingpresentat,14
rodrigues2019turbidite,pre-state,4
rodrigues2019turbidite,poststate,4
rodrigues2019turbidite,derivation,3
romanenko2023what,mediation,10
romanenko2023what,characterization,7
romanenko2023what,memberOf,3
romanenko2023what,participation,3
romanenko2023what,creation,2
romanenko2023what,externalDependence,1
sales2018cover,characterization,11
sales2018cover,participation,11
sales2018cover,mediation,6
sales2018cover,historicalDependence,5
sales2018cover,bringsAbout,3
sales2018cover,manifestation,3
sales2018cover,triggers,2
sales2018cover,instantiation,2
sales2018cover,externalDependence,2
sariev2024maritime,characterization,15
sariev2024maritime,mediation,12
sariev2024maritime,componentOf,3
schoonderbeek2024eamon,mediation,60
schoonderbeek2024eamon,derivation,30
schoonderbeek2024eamon,material,30
schoonderbeek2024eamon,componentOf,5
schoonderbeek2024eamon,characterization,1
scientific-experiment2013,componentOf,12
scientific-experiment2013,Formal,10
scientific-experiment2013,characterization,1
scientific-experiment2013,memberOf,1
scientific-publication2013,mediation,11
scientific-publication2013,material,4
scientific-publication2013,componentOf,3
services2015,Formal,19
services2015,characterization,14
services2015,mediation,10
services2015,componentOf,9
services2015,sum,2
services2015,externalDependence,2
services2015,derivation,1
services2015,material,1
services2015,memberOf,1
short-examples2013,mediation,9
short-examples2013,material,2
short-examples2013,Formal,2
short-examples2013,componentOf,2
sikora2021online-education,material,32
sikora2021online-education,characterization,9
sikora2021online-education,mediation,4
silva2012itarchitecture,mediation,4
silva2012itarchitecture,material,2
silva2021sebim,mediation,2
silva2021sebim,derivation,1
silva2023onto4caal,characterization,20
silveira2021oap,material,8
silveira2021oap,characterization,3
silveira2021oap,memberOf,2
silveira2021oap,mediation,2
silveira2021oap,externalDependence,2
silveira2021oap,componentOf,1
silveira2021oap,Formal,1
soares2024fair,mediation,10
soares2024fair,characterization,1
social-contract,componentOf,12
social-contract,mediation,9
social-contract,Formal,5
social-contract,subCollectionOf,4
social-contract,material,2
social-contract,derivation,1
social-contracts2013,componentOf,12
social-contracts2013,Formal,8
social-contracts2013,mediation,6
social-contracts2013,subCollectionOf,4
social-contracts2013,derivation,3
social-contracts2013,material,3
sousa2022triponto,mediation,24
sousa2022triponto,material,7
sousa2022triponto,derivation,4
spmo2017,mediation,2
spo2017,material,2
sportbooking2021,mediation,21
sportbooking2021,material,6
sportbooking2021,derivation,2
sportbooking2021,partOf,1
stock-broker2021,mediation,6
telecom-equipment2013,mediation,18
telecom-equipment2013,material,14
telecom-equipment2013,derivation,9
tender2013,mediation,40
tender2013,Formal,2
tender2013,componentOf,1
tesolin2023hint,derivation,5
tesolin2023hint,externalDependence,4
tesolin2023hint,characterization,3
tesolin2023hint,mediation,2
tourbo2021,mediation,7
tourbo2021,material,4
tourbo2021,derivation,2
tourbo2021,characterization,1
unimatch-ontology2022,componentOf,10
unimatch-ontology2022,mediation,5
unimatch-ontology2022,memberOf,1
unimatch-ontology2022,characterization,1
unimatch-ontology2022,comparative,1
university-ontology,mediation,8
university-ontology,derivation,4
university-ontology,material,3
university-ontology,componentOf,2
university-ontology,characterization,2
valaski2020medical-appointment,material,3
valaski2020medical-appointment,mediation,2
valaski2020medical-appointment,Formal,1
valaski2020medical-appointment,derivation,1
van-ee2021modular,material,51
van-ee2021modular,componentOf,6
van-ee2021modular,mediation,2
van-ee2021modular,comparative,1
van-ee2021modular,participation,1
van-ee2021modular,characterization,1
van-ee2021modular,bringsAbout,1
vieira2020weathering,participation,6
vieira2020weathering,characterization,5
vieira2020weathering,mediation,2
vieira2020weathering,derivation,1
vieira2020weathering,creation,1
vieira2020weathering,material,1
weigand2021artifact,participation,10
weigand2021artifact,historicalDependence,7
weigand2021artifact,instantiation,7
weigand2021artifact,material,6
weigand2021artifact,characterization,4
weigand2021artifact,manifestation,3
weigand2021artifact,creation,3
weigand2021artifact,bringsAbout,2
weigand2021artifact,componentOf,2
xhani2023xmlpo,participation,30
xhani2023xmlpo,characterization,19
xhani2023xmlpo,mediation,18
xhani2023xmlpo,creation,9
xhani2023xmlpo,participational,7
zanetti2019orm-o,mediation,17
zanetti2019orm-o,characterization,1
