year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0,7,1,2,0,0,0,0,9,2,4,4,0,0,1,3,7,0,0,3,0,0,0
2007,0,3,0,1,0,2,0,0,4,0,1,0,0,0,0,0,0,1,0,4,0,0,4
2011,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,0
2012,0,11,0,0,0,0,0,0,38,0,0,0,0,0,0,16,9,0,0,42,0,0,0
2013,0,0,9,3,0,0,0,0,11,0,0,0,0,0,0,2,3,0,0,27,0,0,0
2014,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,5,0,0,0,0,7,6
2015,0,4,0,1,8,3,0,0,17,1,22,8,0,2,6,6,13,4,4,5,0,0,0
2016,0,6,1,0,0,7,0,0,0,1,6,0,0,7,0,9,2,9,1,0,0,0,8
2017,0,10,0,0,0,83,0,0,32,1,4,7,0,0,3,14,47,9,4,21,2,29,25
2018,0,27,5,0,2,26,0,0,34,1,18,2,0,4,0,30,9,31,6,43,3,17,12
