Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.341545352743561,2,0.23756906077348067
20.0,4,0.5834266517357223,4,0.46408839779005523
30.0,6,0.7592385218365062,6,0.6464088397790055
40.0,8,0.8812989921612542,8,0.7790055248618785
50.0,10,0.9260918253079508,10,0.850828729281768
60.0,12,0.9574468085106383,12,0.9060773480662984
70.0,14,0.9798432250839866,14,0.9502762430939227
80.0,16,0.9944008958566629,16,0.9834254143646409
90.0,18,1.0,18,1.0
100.0,21,1.0,21,1.0
