Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,518,1,518,57.61957730812013
mediation,86,2,604,67.18576195773082
other,83,3,687,76.4182424916574
material,49,4,736,81.86874304783093
characterization,46,5,782,86.98553948832036
componentOf,41,6,823,91.54616240266962
derivation,21,7,844,93.88209121245829
participation,15,8,859,95.55061179087876
memberOf,10,9,869,96.66295884315906
externalDependence,8,10,877,97.55283648498332
subCollectionOf,7,11,884,98.33147942157953
historicalDependence,5,12,889,98.88765294771969
bringsAbout,3,13,892,99.22135706340379
manifestation,3,14,895,99.55506117908787
instantiation,2,15,897,99.77753058954394
triggers,2,16,899,100.0
comparative,0,17,899,100.0
creation,0,18,899,100.0
participational,0,19,899,100.0
subQuantityOf,0,20,899,100.0
termination,0,21,899,100.0
