Construct,Shannon Entropy,Gini Coefficient,Simpson Index
abstract,4.178140674292819,0.881725138197143,0.08284724354194992
abstractNature,0.0,0.0,0.0
aggregationKind,5.0352428815531285,0.6395248596032409,0.1345751766631135
AggregationKind,0.0,0.0,0.0
attribute,3.3272228849742205,0.91854673033086,0.23141976986733423
begin,0.0,0.0,0.0
bringsAbout,3.472905578007716,0.9217630853994491,0.09555555555555556
cardinality,4.997825535949328,0.6467225611610639,0.1368717623623048
Cardinality,4.997825535949328,0.6467225611610639,0.1368717623623048
cardinalityValue,4.997825535949328,0.6467225611610639,0.1368717623623048
categorizer,0.9182958311690995,0.9862258953168044,0.5555555555555556
category,5.313321975444724,0.7209759937032665,0.05185917904576797
characterization,5.226125921300989,0.7403249804805468,0.05227804944697049
Class,4.6003492687732725,0.6830513039885311,0.19048494393269577
Classifier,0.0,0.0,0.0
ClassStereotype,0.0,0.0,0.0
ClassView,5.689649855507432,0.6286433533472949,0.040672634005768545
collective,3.92095825826238,0.8692637563051443,0.17797390606658264
collectiveNature,0.0,0.0,0.0
comparative,2.0773568313167785,0.9725262452535179,0.2783053323593865
componentOf,3.9131877911956865,0.8817734700647599,0.1513756019114973
composite,4.432525169300131,0.8171433059596639,0.13219202751087467
ConnectorView,0.0,0.0,0.0
containsModelElement,4.75785063527771,0.673536667528639,0.16494926617278613
containsView,4.696950829457421,0.7116538400800126,0.15408288336240825
creation,3.7753778721259796,0.9109876710472836,0.0916420317119054
datatype,4.271825395561975,0.8749060856498873,0.06611570247933884
DecoratableElement,0.0,0.0,0.0
derivation,3.7784139995382717,0.8966942148760331,0.14654509079716835
description,1.2263454383546588,0.982425850461041,0.6545459359987877
diagram,3.957990301488263,0.7894757855232164,0.24189984986036242
Diagram,3.957990301488263,0.7894757855232164,0.24189984986036242
DiagramElement,0.0,0.0,0.0
ElementView,0.0,0.0,0.0
end,0.0,0.0,0.0
enumeration,2.5252984448060145,0.9630006357279085,0.2108875739644971
event,5.022360887268054,0.7842114868211799,0.05118194252328337
eventNature,0.0,0.0,0.0
externalDependence,4.114806141465289,0.8876247719222926,0.06965761511216056
extrinsicModeNature,0.0,0.0,0.0
functionalComplexNature,0.0,0.0,0.0
general,4.4034004974199075,0.7518677377790532,0.18722553222966284
generalization,5.214377980716347,0.7394566507648548,0.05501575340956662
Generalization,4.4034004974199075,0.7518677377790532,0.18722553222966284
GeneralizationSet,5.445233522575025,0.7104173776280843,0.038572243584991416
GeneralizationSetView,0.0,0.0,0.0
GeneralizationView,5.535313004316341,0.678280331312316,0.04234845731897349
height,5.68986634877926,0.6297145728963911,0.040495643792579125
historicalDependence,3.6488066663403877,0.9184823441021788,0.09607438016528924
historicalRole,1.2087030023114833,0.9845490477901545,0.5727788279773156
historicalRoleMixin,1.3921472193364495,0.9807162534435262,0.4074074074074074
instantiation,3.774818007300209,0.9110073062642232,0.08506616257088848
intrinsicModeNature,0.0,0.0,0.0
isAbstract,4.6003492687732725,0.6830513039885311,0.19048494393269577
isComplete,5.445233522575025,0.7104173776280843,0.038572243584991416
isDerived,4.939147586965551,0.6433027186698477,0.1486092624962099
isDisjoint,5.445233522575025,0.7104173776280843,0.038572243584991416
isExtensional,4.6003492687732725,0.6830513039885311,0.19048494393269577
isOrdered,5.0352428815531285,0.6395248596032409,0.1345751766631135
isPowertype,4.6003492687732725,0.6830513039885311,0.19048494393269577
isReadOnly,5.0352428815531285,0.6395248596032409,0.1345751766631135
isViewOf,5.656314735603528,0.6413809358827077,0.040828895314114044
kind,5.108035209913783,0.6918565562324807,0.09182943009174482
literal,2.6489796074763645,0.9587545646742264,0.1841211465657112
Literal,2.6489796074763645,0.9587545646742264,0.1841211465657112
lowerBound,5.223449713406591,0.6558254430950777,0.09592703511295193
manifestation,3.198085442834249,0.9382596013612057,0.14186851211072665
material,4.269423946444757,0.8606736316856386,0.10735334836438432
mediation,3.4488518000514885,0.8597658470358753,0.3062845074760536
memberOf,2.8654206202479684,0.9294467288197695,0.33465990438981774
mixin,3.048799642657264,0.935064935064935,0.23356009070294784
mode,4.340065057033415,0.8413981348093108,0.1225654406194765
model.1,6.918863062708507,0.0,0.008264462809917356
ModelElement,0.0,0.0,0.0
name,5.036077123205946,0.6573978456533801,0.12541405788655066
NodeView,0.0,0.0,0.0
none,4.991154693925636,0.6463881321398319,0.13966034023679988
Note,0.0,0.0,0.0
NoteView,0.0,0.0,0.0
OntologicalNature,0.0,0.0,0.0
OntoumlElement,0.0,0.0,0.0
order,4.6003492687732725,0.6830513039885311,0.19048494393269577
owner,0.0,0.0,0.0
Package,4.45708513580102,0.7292494690135217,0.17829186333352756
