Construct,Shannon Entropy,Gini Coefficient,Simpson Index
PackageView,1.5739889558795266,0.980068060281964,0.4117647058823529
participation,4.17754248977165,0.8799307084340828,0.08849945653210273
participational,1.5197284558087811,0.980068060281964,0.39792387543252594
Path,5.7879007808946925,0.6121960647168179,0.03543104391494844
phase,4.210859664762059,0.8573633376481131,0.1261794164610248
phaseMixin,2.7016094855174675,0.9553719008264463,0.19
point,5.817250342063964,0.6093674142941592,0.0334113260159788
Point,5.793443171364049,0.6122019643328458,0.03487220338094745
project,5.213540378559874,0.6276064441559993,0.10625455216882644
Project,6.918863062708507,0.0,0.008264462809917356
property,0.0,0.0,0.0
Property,5.0352428815531285,0.6395248596032409,0.1345751766631135
PropertyStereotype,0.0,0.0,0.0
propertyType,5.1260182096337426,0.629159402053138,0.12350106599141623
quality,4.8802957686454675,0.8112599576334397,0.04636447757692658
qualityNature,0.0,0.0,0.0
quantity,3.9135740900671,0.901211835738449,0.09662004349110044
quantityNature,0.0,0.0,0.0
Rectangle,5.69152020494105,0.6284668630527634,0.040549831673530955
RectangularShape,0.0,0.0,0.0
redefinesProperty,0.0,0.9917355371900827,1.0
Relation,5.0904247676595675,0.6306672482121237,0.12811035303001075
relationEnd,5.0904247676595675,0.6306672482121237,0.12811035303001075
RelationStereotype,0.0,0.0,0.0
RelationView,0.0,0.0,0.0
relator,3.453636624709996,0.8320215626788429,0.3382659264635193
relatorNature,0.0,0.0,0.0
restrictedTo,5.166210154472156,0.6353925794485235,0.11356080237143697
role,3.146774495972499,0.8619047830745225,0.34661060377947034
roleMixin,3.9377923015513043,0.8755460704412965,0.1661044847399896
shape,5.656314735603528,0.6413809358827077,0.040828895314114044
Shape,0.0,0.0,0.0
shared,5.70958389240424,0.6612043856117834,0.02275022372558518
situation,4.174395288874286,0.8794562081275368,0.0669794474983369
situationNature,0.0,0.0,0.0
sourceEnd,5.0904247676595675,0.6306672482121237,0.12811035303001075
sourceView,5.535313004316341,0.678280331312316,0.04234845731897349
specific,4.4034004974199075,0.7518677377790532,0.18722553222966284
stereotype,4.439961844718404,0.7066273232268222,0.20932137509115617
Stereotype,0.0,0.0,0.0
subCollectionOf,2.2004363969838994,0.9698937426210154,0.26530612244897955
subkind,4.35355499367387,0.8099336239994794,0.1619888864777729
subQuantityOf,1.2916919913672793,0.9834710743801653,0.5408163265306122
subsetsProperty,0.0,0.9917355371900827,1.0
targetEnd,5.0904247676595675,0.6306672482121237,0.12811035303001075
targetView,5.535313004316341,0.678280331312316,0.04234845731897349
termination,1.5219280905592771,0.9785123966942149,0.3600000000000001
text,0.0,0.0,0.0
Text,5.161937079911793,0.7602116653784411,0.04715076859375809
topLeftPosition,5.68986634877926,0.6297145728963911,0.040495643792579125
triggers,3.202819516687833,0.9349173553719008,0.1171875
type,3.7194369279376875,0.9146906619294045,0.12242335575159399
typeNature,0.0,0.0,0.0
upperBound,5.223449713406591,0.6558254430950777,0.09592703511295193
width,5.68986634877926,0.6297145728963911,0.040495643792579125
xCoordinate,5.793443171364049,0.6122019643328458,0.03487220338094745
yCoordinate,5.793443171364049,0.6122019643328458,0.03487220338094745
