Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.47898513582778063,4,0.2675656493967353
20.0,8,0.6740773962070733,8,0.47693399574166073
30.0,12,0.8131086622245003,12,0.6266855926188787
40.0,16,0.8898001025115325,16,0.7423704755145494
50.0,20,0.9395181957970271,20,0.8254080908445706
60.0,24,0.9618144541260892,24,0.8899929027679205
70.0,28,0.9793695540748334,28,0.9389638041163946
80.0,32,0.9899410558687852,32,0.9694819020581973
90.0,36,0.9963480266529985,36,0.9879347054648687
100.0,41,1.0,41,1.0
