Stereotype,average_quantity,rank,proportion
bringsAbout,0,9,0.0
characterization,4,3,0.09523809523809523
comparative,0,9,0.0
componentOf,4,3,0.09523809523809523
creation,0,9,0.0
derivation,1,6,0.023809523809523808
externalDependence,0,9,0.0
formal,3,5,0.07142857142857142
historicalDependence,0,9,0.0
instantiation,0,9,0.0
manifestation,0,9,0.0
material,5,2,0.11904761904761904
mediation,23,1,0.5476190476190477
memberOf,1,6,0.023809523809523808
participation,1,6,0.023809523809523808
participational,0,9,0.0
subCollectionOf,0,9,0.0
subQuantityOf,0,9,0.0
termination,0,9,0.0
triggers,0,9,0.0
