stereotype,total_correlation,rank
category,7.243303665613714,7
enumeration,9.031478640254791,1
event,9.031478640254791,1
kind,7.232655168413308,9
mode,6.242915333784558,16
quality,6.846945943854502,13
quantity,9.031478640254791,1
relator,6.925846552320494,12
role,7.686429157811482,5
situation,9.031478640254791,1
subkind,7.243303665613714,7
characterization,6.391476923231776,15
componentOf,6.657651064039767,14
derivation,6.965448549366216,10
material,7.686429157811482,5
mediation,6.965448549366216,10
