Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,103,1,103,7.415406767458603
relator,92,2,195,14.038876889848812
subkind,91,3,286,20.59035277177826
category,87,4,373,26.853851691864648
role,85,5,458,32.97336213102952
mediation,78,6,536,38.58891288696904
characterization,69,7,605,43.556515478761696
mode,59,8,664,47.80417566594672
roleMixin,55,9,719,51.76385889128869
event,54,10,773,55.65154787616991
material,54,11,827,59.539236861051116
componentOf,45,12,872,62.778977681785456
quality,44,13,916,65.94672426205904
phase,42,14,958,68.97048236141109
derivation,39,15,997,71.77825773938085
collective,36,16,1033,74.37005039596832
memberOf,32,17,1065,76.67386609071274
participation,30,18,1095,78.83369330453563
datatype,27,19,1122,80.77753779697623
type,27,20,1149,82.72138228941685
formal,24,21,1173,84.44924406047517
externalDependence,23,22,1196,86.10511159107271
mixin,22,23,1218,87.6889848812095
situation,21,24,1239,89.20086393088553
creation,19,25,1258,90.56875449964002
instantiation,18,26,1276,91.86465082793377
historicalDependence,16,27,1292,93.01655867530597
manifestation,13,28,1305,93.9524838012959
bringsAbout,12,29,1317,94.81641468682506
quantity,12,30,1329,95.68034557235421
triggers,10,31,1339,96.40028797696183
enumeration,9,32,1348,97.04823614110872
phaseMixin,8,33,1356,97.62419006479482
subCollectionOf,6,34,1362,98.0561555075594
comparative,6,35,1368,98.48812095032397
historicalRole,5,36,1373,98.84809215262779
participational,4,37,1377,99.13606911447084
subQuantityOf,4,38,1381,99.4240460763139
termination,4,39,1385,99.71202303815694
historicalRoleMixin,3,40,1388,99.92800575953925
abstract,1,41,1389,100.0
