Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2033,1,2033,14.604885057471265
mediation,1972,2,4005,28.771551724137932
role,1863,3,5868,42.1551724137931
kind,1590,4,7458,53.577586206896555
relator,1248,5,8706,62.54310344827586
material,623,6,9329,67.01867816091955
category,585,7,9914,71.22126436781609
characterization,562,8,10476,75.25862068965517
mode,545,9,11021,79.17385057471265
event,492,10,11513,82.70833333333333
formal,383,11,11896,85.45977011494253
phase,339,12,12235,87.89511494252874
quality,251,13,12486,89.69827586206897
derivation,219,14,12705,91.27155172413794
type,219,15,12924,92.8448275862069
participation,214,16,13138,94.38218390804597
collective,134,17,13272,95.34482758620689
datatype,89,18,13361,95.98419540229885
mixin,84,19,13445,96.58764367816092
situation,79,20,13524,97.1551724137931
creation,75,21,13599,97.69396551724138
enumeration,74,22,13673,98.22557471264368
instantiation,72,23,13745,98.74281609195403
quantity,44,24,13789,99.058908045977
manifestation,40,25,13829,99.34626436781609
comparative,37,26,13866,99.61206896551724
termination,20,27,13886,99.75574712643677
participational,17,28,13903,99.87787356321839
triggers,16,29,13919,99.99281609195401
abstract,1,30,13920,100.0
historicalRole,0,31,13920,100.0
historicalRoleMixin,0,32,13920,100.0
phaseMixin,0,33,13920,100.0
componentOf,0,34,13920,100.0
bringsAbout,0,35,13920,100.0
roleMixin,0,36,13920,100.0
externalDependence,0,37,13920,100.0
historicalDependence,0,38,13920,100.0
memberOf,0,39,13920,100.0
subQuantityOf,0,40,13920,100.0
subCollectionOf,0,41,13920,100.0
