stereotype,total_correlation,rank
category,3.574291710514028,12
event,3.389104536967053,15
kind,4.627637242426969,4
mode,4.439072794576378,5
phase,3.4245602634668315,14
quality,3.1734379498255634,18
relator,4.264108286223642,6
role,3.700793781142976,11
roleMixin,3.274587350514517,16
subkind,3.5199962999096734,13
type,3.8977368544470945,9
characterization,5.130858225817277,2
componentOf,4.108532467237052,7
derivation,3.252125795031293,17
material,3.9628705132153375,8
mediation,5.1456584158988665,1
memberOf,4.689681280551739,3
participation,3.8866699235225846,10
