Stereotype,quadrant_before,quadrant_after,quadrant_general
abstract,Q3,Q3,Q3
category,Q1,Q1,Q1
collective,Q1,Q1,Q1
datatype,Q2,Q1,Q1
enumeration,Q1,Q3,Q3
event,Q1,Q1,Q1
historicalRole,Q3,Q3,Q3
historicalRoleMixin,Q3,Q3,Q3
kind,Q1,Q1,Q1
mixin,Q1,Q2,Q1
mode,Q1,Q1,Q1
phase,Q1,Q1,Q1
phaseMixin,Q3,Q3,Q3
quality,Q2,Q1,Q1
quantity,Q1,Q3,Q3
relator,Q1,Q1,Q1
role,Q1,Q1,Q1
roleMixin,Q3,Q3,Q3
situation,Q1,Q1,Q1
subkind,Q1,Q1,Q1
type,Q1,Q1,Q1
bringsAbout,Q3,Q3,Q3
characterization,Q1,Q1,Q1
comparative,Q4,Q3,Q3
componentOf,Q3,Q3,Q3
creation,Q3,Q1,Q1
derivation,Q1,Q1,Q1
externalDependence,Q3,Q3,Q3
formal,Q1,Q4,Q1
historicalDependence,Q3,Q3,Q3
instantiation,Q3,Q1,Q3
manifestation,Q3,Q3,Q3
material,Q1,Q1,Q1
mediation,Q1,Q1,Q1
memberOf,Q3,Q3,Q3
participation,Q4,Q1,Q1
participational,Q3,Q3,Q3
subCollectionOf,Q3,Q3,Q3
subQuantityOf,Q3,Q3,Q3
termination,Q3,Q3,Q3
triggers,Q3,Q3,Q3
