Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.43014263619178555,4,0.2515991471215352
20.0,8,0.6095549063412957,8,0.4616204690831556
30.0,13,0.7643925073036604,13,0.6311300639658849
40.0,17,0.8506616257088847,17,0.7334754797441365
50.0,22,0.9144182849286819,22,0.8251599147121536
60.0,26,0.9481010482900842,26,0.8859275053304904
70.0,30,0.9718164633098471,30,0.9349680170575693
80.0,35,0.9907200549922667,35,0.9776119402985075
90.0,39,0.9982814916652346,39,0.9936034115138592
100.0,44,1.0,44,1.0
