stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
category,4.372886732138307,24
collective,4.08356346442089,26
datatype,3.1533608831098006,33
event,6.798676759304453,7
kind,6.968021319423418,5
mixin,3.1988579026597224,32
mode,4.607065640636205,21
phase,3.9625532151075253,27
phaseMixin,3.900989137590721,29
quality,4.751782978330308,17
relator,5.070023274733067,15
role,4.670659055995352,19
roleMixin,4.677156600794413,18
situation,6.373458887269988,9
subkind,4.451452716890355,23
type,8.068264086791293,2
none_c,2.7451206562159993,34
other_c,3.916828754309895,28
bringsAbout,6.767253425402971,8
characterization,5.768803702358171,13
componentOf,4.644384290970597,20
creation,5.011590773667582,16
derivation,4.274145309790383,25
externalDependence,5.95949363729343,11
historicalDependence,6.830143448273046,6
instantiation,8.18101293557299,1
manifestation,7.724391096770356,3
material,4.484370662739194,22
mediation,5.821789124351651,12
memberOf,5.2267652107054765,14
participation,7.238042610120019,4
triggers,6.014884570705747,10
none_r,3.3215802529195786,31
other_r,3.785876689762361,30
